1 1:9937.65 2:9983.45 3:9909.85 4:9974.4 5:162730656 6:9314.82 7:9984.15
1 1:9984.15 2:9988.4 3:9861 4:9912.85 5:153369495 6:8069.64 7:9933.25
1 1:9933.25 2:9963.1 3:9901.05 4:9952.2 5:143522342 6:7566.62 7:9899.25
-1 1:9899.25 2:9931.55 3:9882.55 4:9916.2 5:153767846 6:8926.98 7:9945.85
-1 1:9945.85 2:9964.85 3:9917.2 4:9929.9 5:194626599 6:9455.48 7:9958.65
1 1:9958.65 2:9963.6 3:9913.3 4:9934.8 5:168698771 6:8792.49 7:9971.75
1 1:9971.75 2:10028.65 3:9968.8 4:10006.05 5:178409875 6:9545.94 7:10056.85
