c','gamma','dist_plus_actual','dist_minus_act','pred_plus_train','pred_minus_train','pred_plus_test','pred_minus_test','pred_tain_accuracy_tot','pred_train_acc_plus','pred_train_acc_minus','pre_test_acc_tot','pred_test_acc_plus','pred_test_acc_minus','ret_pt_tot_train','ret_pt_tot_plus','ret_pt_train_minus','ret_pt_cor_train','ret_pt_inc_train','rt_pt_tot_test','rt_pt_plus_test','rt_pt_minus_test','rt_pt_cor_test','ret_pt_inc_test'
1,1000,59.4,40.6,59.4,40.6,99.5024875622,0.4975124378,100,100,100,56.2189054726,56,100,1.0940501954,1.0545322545,1.151725028,1.0951442455,0,0.1329033982,0.1329695102,0.1196810086,1.3069973604,-1.374739985
1,200,59.4,40.6,60.3,39.7,98.0099502488,1.9900497512,98.7,98.175787728,99.4962216625,55.7213930348,55.8375634518,50,1.0730689423,1.0213781791,1.1513843449,1.0989292081,-0.750079796,0.1313016324,0.1341772821,-0.0103241146,1.3172296809,-1.3611022039
1,100,59.4,40.6,63.7,36.3,89.552238806,10.447761194,93.7,91.6797488226,97.2451790634,53.2338308458,55,38.0952380952,0.9989573972,0.9086314186,1.1570278596,1.1179832445,-0.7436553983,0.0953355466,0.1267685164,-0.1740899084,1.3450012396,-1.3271562528
1,20,59.4,40.6,74,26,71.6417910448,28.3582089552,76.8,74.4594594595,83.4615384615,49.2537313433,53.4722222222,38.5964912281,0.6363447457,0.5369061913,0.9182778116,1.1276857656,-0.9831827364,-0.0781666744,0.0373705538,-0.370050198,1.277557166,-1.3940162841
1,10,59.4,40.6,80.7,19.3,74.6268656716,25.3731343284,69.7,68.029739777,76.6839378238,48.2587064677,52.6666666667,35.2941176471,0.448028255,0.3750720025,0.7534616852,1.1073317997,-1.0635986222,-0.062554132,0.046336135,-0.3828196231,1.3200744324,-1.3521211583
1,6.6666666667,59.4,40.6,88,12,79.1044776119,20.8955223881,65.8,64.3181818182,76.6666666667,46.7661691542,51.572327044,28.5714285714,0.3357308008,0.2801967108,0.7434435787,1.0875461833,-1.1065272798,-0.0730156639,0.0371008572,-0.4898853508,1.3510195317,-1.3240372376
1,4,59.4,40.6,94.5,5.5,88.0597014925,11.9402985075,62.3,61.4814814815,76.3636363636,52.736318408,54.802259887,37.5,0.252441891,0.2168786499,0.8641296375,1.0817324064,-1.1143517363,0.0305327919,0.0921223509,-0.4236902052,1.2962495829,-1.3817406802
1,3.5714285714,59.4,40.6,95.5,4.5,92.039800995,7.960199005,62.3,61.3612565445,82.2222222222,52.736318408,54.5945945946,31.25,0.2573452926,0.2171771499,1.1106951677,1.085671656,-1.1078592694,0.0114327686,0.077762723,-0.7555073295,1.2781405985,-1.4019464943
1,1.3333333333,59.4,40.6,99.1,0.9,99.5024875622,0.4975124378,60.1,59.8385469223,88.8888888889,56.2189054726,56,100,0.1846034034,0.1725947982,1.5082185598,1.0648354845,-1.1379452984,0.1342130676,0.133627619,0.2513027809,1.3081621548,-1.3732442831
1,1,59.4,40.6,99.9,0.1,100,0,59.5,59.4594594595,100,55.7213930348,55.7213930348,nan,0.1597706937,0.1587852686,1.1451958097,1.0546846302,-1.1517411098,0.1317125424,0.1317125424,0,1.3175983993,-1.3606381988
