c','gamma','dist_plus_actual','dist_minus_act','pred_plus_train','pred_minus_train','pred_plus_test','pred_minus_test','pred_tain_accuracy_tot','pred_train_acc_plus','pred_train_acc_minus','pre_test_acc_tot','pred_test_acc_plus','pred_test_acc_minus','ret_pt_tot_train','ret_pt_tot_plus','ret_pt_train_minus','ret_pt_cor_train','ret_pt_inc_train','rt_pt_tot_test','rt_pt_plus_test','rt_pt_minus_test','rt_pt_cor_test','ret_pt_inc_test'
1,1000,53.953953954,46.046046046,53.953953954,46.046046046,100,0,100,100,100,55.223880597,55.223880597,nan,1.0908704743,1.0433147191,1.1513363286,1.0908704743,0,0.108139011,0.108139011,0,0.8319777512,-0.7845954352
1,200,53.953953954,46.046046046,54.1541541542,45.8458458458,81.592039801,18.407960199,99.1991991992,99.0757855823,99.3449781659,55.7213930348,56.7073170732,51.3513513514,1.0753430764,1.0232014225,1.1393957391,1.0929333489,-0.8634958474,0.115370155,0.1369675072,0.0196413505,0.8310380388,-0.785245609
1,100,53.953953954,46.046046046,54.8548548549,45.1451451451,75.1243781095,24.8756218905,95.6956956957,95.2554744526,96.2305986696,51.2437810945,54.3046357616,42,1.0203704116,0.9582933677,1.0960741237,1.1053096897,-0.7841173639,0.0510801572,0.1059703735,-0.1146882963,0.8409234521,-0.7790612651
1,20,53.953953954,46.046046046,58.3583583584,41.6416416416,68.1592039801,31.8407960199,75.1751751752,74.9571183533,75.4807692308,54.2288557214,56.9343065693,48.4375,0.5860893984,0.5303145636,0.6642009177,1.1176010869,-1.0105717139,0.1209900315,0.1680837137,0.0201801181,0.8590922747,-0.7535006697
1,10,53.953953954,46.046046046,60.0600600601,39.9399399399,72.1393034826,27.8606965174,69.2692692693,69.3333333333,69.1729323308,54.2288557214,56.5517241379,48.2142857143,0.4341543534,0.3887857156,0.5023207316,1.1029984483,-1.0637100923,0.1596478015,0.1856039631,0.0924398828,0.8947354479,-0.7112712579
1,6.6666666667,53.953953954,46.046046046,64.5645645646,35.4354354354,74.6268656716,25.3731343284,64.3643643644,64.1860465116,64.6892655367,54.7263681592,56.6666666667,49.0196078431,0.3230136854,0.2755949083,0.4093025023,1.1005428024,-1.0734981085,0.1566687222,0.1774211812,0.0956320779,0.8838796941,-0.7223775076
1,4,53.953953954,46.046046046,67.3673673674,32.6326326326,76.1194029851,23.8805970149,61.7617617618,61.6641901932,61.963190184,54.2288557214,56.2091503268,47.9166666667,0.2683741041,0.2235715139,0.3607195042,1.1025962909,-1.0720297741,0.1373731485,0.1612677911,0.0612089754,0.8741978092,-0.7356038951
1,3.5714285714,53.953953954,46.046046046,68.0680680681,31.9319319319,76.6169154229,23.3830845771,61.4614614615,61.3235294118,61.7554858934,54.7263681592,56.4935064935,48.9361702128,0.2611607477,0.2159719757,0.3573281031,1.1021036264,-1.0730483674,0.1446673272,0.1649807597,0.0781084207,0.8729147832,-0.7356317955
1,1.3333333333,53.953953954,46.046046046,70.1701701702,29.8298298298,74.6268656716,25.3731343284,58.5585585586,58.9158345221,57.7181208054,56.7164179104,58,52.9411764706,0.213865418,0.1760422296,0.3022456016,1.1162740412,-1.0551467084,0.1843143288,0.1959437377,0.1501101851,0.8772381563,-0.7236548245
1,1,53.953953954,46.046046046,69.4694694695,30.5305305305,75.1243781095,24.8756218905,57.6576576577,58.3573487032,56.0655737705,56.2189054726,57.6158940397,52,0.1759286383,0.1504585658,0.2335059356,1.1007516595,-1.0774785622,0.1703287203,0.1853377947,0.1250013158,0.872562798,-0.7314036748
1,0.1,53.953953954,46.046046046,60.6606606607,39.3393393393,64.1791044776,35.8208955224,55.6556556557,57.9207920792,52.1628498728,54.2288557214,57.3643410853,48.6111111111,0.1496038699,0.1505655084,0.148128546,1.1166500167,-1.0586605292,0.1405820524,0.193771061,0.0452850786,0.8771564774,-0.7320985164
1,0.0909090909,53.953953954,46.046046046,60.5605605606,39.4394394394,63.184079602,36.815920398,55.5555555556,57.8512396694,52.0304568528,53.2338308458,56.6929133858,47.2972972973,0.148658362,0.1500321842,0.1465594671,1.117809338,-1.0573478973,0.1332327391,0.1910067787,0.0340799956,0.886649066,-0.7243794627
1,0.0833333333,53.953953954,46.046046046,60.2602602603,39.7397397397,63.184079602,36.815920398,55.8558558559,58.1395348837,52.3929471033,53.2338308458,56.6929133858,47.2972972973,0.1552396939,0.1562515415,0.1537130465,1.1177027584,-1.0570726989,0.1332327391,0.1910067787,0.0340799956,0.886649066,-0.7243794627
1,0.0769230769,53.953953954,46.046046046,60.1601601602,39.8398398398,63.184079602,36.815920398,55.7557557558,58.0698835275,52.2613065327,53.2338308458,56.6929133858,47.2972972973,0.1546227992,0.1559977908,0.1525568745,1.1191550869,-1.0553873004,0.1332327391,0.1910067787,0.0340799956,0.886649066,-0.7243794627
1,0.0714285714,53.953953954,46.046046046,59.95995996,40.04004004,63.184079602,36.815920398,55.7557557558,58.0968280467,52.25,53.2338308458,56.6929133858,47.2972972973,0.1530238647,0.1551826469,0.1498071717,1.1177183423,-1.057189703,0.1332327391,0.1910067787,0.0340799956,0.886649066,-0.7243794627
1,0.0666666667,53.953953954,46.046046046,59.95995996,40.04004004,63.184079602,36.815920398,55.7557557558,58.0968280467,52.25,53.2338308458,56.6929133858,47.2972972973,0.1530238647,0.1551826469,0.1498071717,1.1177183423,-1.057189703,0.1332327391,0.1910067787,0.0340799956,0.886649066,-0.7243794627
1,0.0625,53.953953954,46.046046046,59.95995996,40.04004004,63.184079602,36.815920398,55.7557557558,58.0968280467,52.25,53.2338308458,56.6929133858,47.2972972973,0.1530238647,0.1551826469,0.1498071717,1.1177183423,-1.057189703,0.1332327391,0.1910067787,0.0340799956,0.886649066,-0.7243794627
1,0.0588235294,53.953953954,46.046046046,59.8598598599,40.1401401401,63.184079602,36.815920398,55.8558558559,58.1939799331,52.3690773067,53.2338308458,56.6929133858,47.2972972973,0.1581029309,0.1596931072,0.1557433143,1.1202709485,-1.0538378228,0.1332327391,0.1910067787,0.0340799956,0.886649066,-0.7243794627
1,0.0555555556,53.953953954,46.046046046,59.5595595596,40.4404404404,63.184079602,36.815920398,55.955955956,58.3193277311,52.4752475248,53.2338308458,56.6929133858,47.2972972973,0.161484175,0.1633425056,0.1587607595,1.121294279,-1.0523933095,0.1332327391,0.1910067787,0.0340799956,0.886649066,-0.7243794627
1,0.0526315789,53.953953954,46.046046046,59.5595595596,40.4404404404,62.6865671642,37.3134328358,55.955955956,58.3193277311,52.4752475248,52.736318408,56.3492063492,46.6666666667,0.161484175,0.1633425056,0.1587607595,1.121294279,-1.0523933095,0.1311822118,0.1908871658,0.0308778891,0.8930695477,-0.7189236578
1,0.05,53.953953954,46.046046046,59.4594594595,40.5405405405,62.6865671642,37.3134328358,56.0560560561,58.4175084175,52.5925925926,52.736318408,56.3492063492,46.6666666667,0.1641971522,0.1659034275,0.1617069127,1.1217166912,-1.051700675,0.1311822118,0.1908871658,0.0308778891,0.8930695477,-0.7189236578
1,0.0476190476,53.953953954,46.046046046,59.4594594595,40.5405405405,62.6865671642,37.3134328358,56.0560560561,58.4175084175,52.5925925926,52.736318408,56.3492063492,46.6666666667,0.1641971522,0.1659034275,0.1617069127,1.1217166912,-1.051700675,0.1311822118,0.1908871658,0.0308778891,0.8930695477,-0.7189236578
1,0.0454545455,53.953953954,46.046046046,59.0590590591,40.9409409409,62.6865671642,37.3134328358,55.8558558559,58.3050847458,52.3227383863,52.736318408,56.3492063492,46.6666666667,0.1580300678,0.1617966274,0.1526230845,1.1202055938,-1.0539201432,0.1311822118,0.1908871658,0.0308778891,0.8930695477,-0.7189236578
1,0.0434782609,53.953953954,46.046046046,59.8598598599,40.1401401401,63.184079602,36.815920398,55.8558558559,58.1939799331,52.3690773067,53.2338308458,56.6929133858,47.2972972973,0.1581029309,0.1596931072,0.1557433143,1.1202709485,-1.0538378228,0.1332327391,0.1910067787,0.0340799956,0.886649066,-0.7243794627
