c','gamma','dist_plus_actual','dist_minus_act','pred_plus_train','pred_minus_train','pred_plus_test','pred_minus_test','pred_tain_accuracy_tot','pred_train_acc_plus','pred_train_acc_minus','pre_test_acc_tot','pred_test_acc_plus','pred_test_acc_minus','ret_pt_tot_train','ret_pt_tot_plus','ret_pt_train_minus','ret_pt_cor_train','ret_pt_inc_train','rt_pt_tot_test','rt_pt_plus_test','rt_pt_minus_test','rt_pt_cor_test','ret_pt_inc_test'
1,1000,53.9,46.1,53.9,46.1,99.5,0.5,100,100,100,61,60.8040201005,100,0.9904440478,0.9767710685,1.0085789283,0.9904440478,0,0.2387463368,0.2345241885,1.0831759913,0.8897828522,-0.7666518262
1,200,53.9,46.1,54.1,45.9,83,17,99.2,99.0757855823,99.3464052288,57.5,60.843373494,41.1764705882,0.9828505327,0.9643524937,1.0046935329,0.9955987274,-0.4222838133,0.1657260232,0.2369239293,-0.1839813389,0.8801301431,-0.7895818115
1,100,53.9,46.1,55.7,44.3,73.5,26.5,95.2,94.0754039497,96.6139954853,58,62.5850340136,45.2830188679,0.9158659555,0.8766187647,0.9653014689,1.0022144503,-0.7617619431,0.1307346849,0.243578829,-0.1843772646,0.8422270427,-0.840243121
1,20,53.9,46.1,61.3,38.7,69.5,30.5,76.2,74.5513866232,78.811369509,57,62.5899280576,44.262295082,0.56767828,0.5128425718,0.6546786024,1.0234123688,-0.8853316603,0.0543941198,0.2026959993,-0.2859708494,0.7897027207,-0.909113702
1,10,53.9,46.1,68.8,31.2,78.5,21.5,68.3,66.1337209302,73.0769230769,61,63.6942675159,51.1627906977,0.4260830317,0.3541609831,0.584910889,1.0380260663,-0.8882474483,0.1515918327,0.2414291775,-0.1785081784,0.8179875435,-0.8775255941
1,6.6666666667,53.9,46.1,74.7,25.3,82,18,63.4,61.5796519411,68.7747035573,60.5,62.8048780488,50,0.29103033,0.2358596794,0.454143558,1.0116371074,-0.9538326042,0.1576672039,0.2348871809,-0.1962576908,0.8297938439,-0.8589243392
1,4,53.9,46.1,75.3,24.7,83.5,16.5,60,59.229747676,62.3481781377,59,61.6766467066,45.4545454545,0.2181430142,0.1856007143,0.3174826664,1.0081630409,-0.9639318387,0.1348558975,0.2170467176,-0.2835700958,0.8314620239,-0.8554998003
1,3.5714285714,53.9,46.1,75.7,24.3,82.5,17.5,59.8,59.0488771466,62.1399176955,58,61.2121212121,42.8571428571,0.2225254596,0.187514977,0.3317351134,1.0152027399,-0.9537053434,0.1072988014,0.2029780747,-0.3464943235,0.8219226781,-0.8679526069
1,1.3333333333,53.9,46.1,70.7,29.3,80,20,57.8,58.2743988685,56.6552901024,57.5,61.25,42.5,0.1704750475,0.164193948,0.1855795961,1.005259528,-0.9701997274,0.0766237254,0.1901336352,-0.3802536614,0.8022624828,-0.8937071711
1,1,53.9,46.1,69.1,30.9,80,20,57.2,58.0318379161,55.3398058252,57.5,61.25,42.5,0.1649500893,0.1639940372,0.1670811603,1.01096987,-0.9630762849,0.0766237254,0.1901336352,-0.3802536614,0.8022624828,-0.8937071711
1,0.1,53.9,46.1,63.9,36.1,76,24,56.4,58.0594679186,53.4626038781,57.5,61.8421052632,43.75,0.1702327153,0.1814770485,0.1503842929,1.0299977304,-0.9393953591,0.1055578424,0.2190810066,-0.2562972438,0.827548385,-0.8598946275
1,0.0909090909,53.9,46.1,63.7,36.3,76,24,56.2,57.9277864992,53.1680440771,57.5,61.8421052632,43.75,0.1652110021,0.1781012034,0.1426531499,1.0291910186,-0.9408408642,0.1055578424,0.2190810066,-0.2562972438,0.827548385,-0.8598946275
1,0.0833333333,53.9,46.1,66.1,33.9,78,22,56.4,57.791225416,53.6873156342,59.5,62.8205128205,47.7272727273,0.161687324,0.1689665138,0.1475357225,1.0224144531,-0.9491824721,0.1254214093,0.2262145382,-0.2342268005,0.816507166,-0.8774957254
1,0.0769230769,53.9,46.1,67.9,32.1,79.5,20.5,56.2,57.4374079529,53.5825545171,59,62.2641509434,46.3414634146,0.1406755791,0.148999245,0.1231235011,1.0073405218,-0.968813482,0.1024014122,0.2075135799,-0.3077924131,0.8038207038,-0.8947970988
1,0.0714285714,53.9,46.1,70.9,29.1,81,19,57,57.6868829337,55.3264604811,57.5,61.1111111111,42.1052631579,0.1663817074,0.1608411912,0.1798345362,1.0157741938,-0.9569447828,0.0828622008,0.1916471291,-0.3837678862,0.8077143679,-0.8864168597
1,0.0666666667,53.9,46.1,73.9,26.1,82.5,17.5,58,58.051420839,57.8544061303,59,61.8181818182,45.7142857143,0.1869876563,0.1682674993,0.2397899312,1.0160423585,-0.9551779666,0.1242050525,0.2132134857,-0.297949231,0.8223907533,-0.8683963054
1,0.0625,53.9,46.1,77.8,22.2,86,14,57.1,57.0694087404,57.2072072072,60.5,62.2093023256,50,0.1539895619,0.1386042876,0.2076655414,1.0031331377,-0.9735941167,0.1510584883,0.2201861788,-0.2760518853,0.8243047867,-0.8672265381
1,0.0588235294,53.9,46.1,82.4,17.6,91,9,54.3,54.9757281553,51.1363636364,59.5,60.989010989,44.4444444444,0.1026808829,0.0997016285,0.1165504063,1.0075672704,-0.9701429345,0.1414795809,0.2028935997,-0.4828962767,0.8300688991,-0.8578146737
1,0.0555555556,53.9,46.1,89,11,96,4,54.3,54.606741573,51.8181818182,61.5,61.4583333333,62.5,0.1049221807,0.0935684398,0.1959566796,1.0096331443,-0.9676936561,0.2234494636,0.235064777,-0.0567699704,0.8700501806,-0.7961901285
1,0.0526315789,53.9,46.1,98.8,1.2,100,0,53.7,53.8461538462,41.6666666667,60.5,60.5,nan,0.0497612318,0.0562870137,-0.4880719557,0.9695023137,-1.0146804944,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.05,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0476190476,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0454545455,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0434782609,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0416666667,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.04,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0384615385,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.037037037,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0357142857,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0344827586,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0333333333,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0322580645,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.03125,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0303030303,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0294117647,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0285714286,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0277777778,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.027027027,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0263157895,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0256410256,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.025,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0243902439,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0238095238,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.023255814,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0227272727,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0222222222,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0217391304,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0212765957,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0208333333,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0204081633,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.02,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0196078431,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0192307692,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0188679245,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0185185185,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
1,0.0181818182,53.9,46.1,100,0,100,0,53.9,53.9,nan,60.5,60.5,nan,0.0614632567,0.0614632567,0,0.9767710685,-1.006395857,0.2279684663,0.2279684663,0,0.8881845618,-0.7706083783
