c','gamma','dist_plus_actual','dist_minus_act','pred_plus_train','pred_minus_train','pred_plus_test','pred_minus_test','pred_tain_accuracy_tot','pred_train_acc_plus','pred_train_acc_minus','pre_test_acc_tot','pred_test_acc_plus','pred_test_acc_minus','ret_pt_tot_train','ret_pt_tot_plus','ret_pt_train_minus','ret_pt_cor_train','ret_pt_inc_train','rt_pt_tot_test','rt_pt_plus_test','rt_pt_minus_test','rt_pt_cor_test','ret_pt_inc_test'
1,1000,54.4544544545,45.5455455455,54.4544544545,45.5455455455,99.5,0.5,100,100,100,58,57.7889447236,100,1.0421330129,1.0133888342,1.0810804838,1.0421330129,0,0.1257265672,0.1240809721,0.4548455726,0.8259872062,-0.8299232461
1,200,54.4544544545,45.5455455455,54.6546546547,45.3453453453,84.5,15.5,99.1991991992,99.0842490842,99.3377483444,56,57.9881656805,45.1612903226,1.0351476789,1.0014394262,1.0781356744,1.0480634942,-0.3884621844,0.0694215531,0.1126914148,-0.1678647851,0.8049630537,-0.8562037059
1,100,54.4544544545,45.5455455455,55.8558558559,44.1441441441,75.5,24.5,95.3953953954,94.623655914,96.3718820862,54,57.6158940397,42.8571428571,0.9608655566,0.9118020784,1.023168386,1.0519420609,-0.8473825395,0.0202598085,0.0935314815,-0.2070319117,0.7890287655,-0.8725041416
1,20,54.4544544545,45.5455455455,60.5605605606,39.4394394394,70.5,29.5,75.8758758759,75.041322314,77.1573604061,55,58.865248227,45.7627118644,0.5821049082,0.5288953202,0.6640800856,1.0724684426,-0.9475064462,0.0656277479,0.1322272049,-0.0946624705,0.8161325871,-0.8415759039
1,10,54.4544544545,45.5455455455,64.7647647648,35.2352352352,78,22,69.8698698699,68.7789799073,71.875,57.5,59.6153846154,50,0.4493737119,0.3929128019,0.5530186685,1.0694829739,-0.9791288124,0.1132523484,0.1500798436,-0.0181548503,0.8222683211,-0.8348504059
1,6.6666666667,54.4544544545,45.5455455455,69.3693693694,30.6306306306,81.5,18.5,63.8638638639,63.2034632035,65.3594771242,58,59.509202454,51.3513513514,0.3189338597,0.2727987747,0.4232262018,1.0677334949,-0.9971382264,0.1031886125,0.1375068901,-0.0489248344,0.8064607886,-0.8565710631
1,4,54.4544544545,45.5455455455,73.2732732733,26.7267267267,82,18,59.7597597598,59.6994535519,59.925093633,56.5,58.5365853659,47.2222222222,0.2267778102,0.1953591362,0.3127102283,1.0638021222,-1.0101120766,0.1084256404,0.1398633411,-0.0356638214,0.8325289626,-0.821388853
1,3.5714285714,54.4544544545,45.5455455455,73.7737737738,26.2262262262,82,18,59.4594594595,59.4301221167,59.5419847328,57.5,59.1463414634,50,0.2072152103,0.1807685171,0.2814268439,1.0526915585,-1.0267232437,0.1271461815,0.1512658526,0.0165976893,0.8344103232,-0.8186140079
1,1.3333333333,54.4544544545,45.5455455455,73.2732732733,26.7267267267,79,21,58.3583583584,58.7431693989,57.3033707865,57.5,59.4936708861,50,0.1839861371,0.1663675061,0.2319297724,1.0526117231,-1.0275179698,0.1297142423,0.1585972062,0.0203715935,0.836654585,-0.8156129601
1,1,54.4544544545,45.5455455455,72.7727727728,27.2272272272,78,22,57.8578578579,58.4594222834,56.25,57.5,59.6153846154,50,0.1807731953,0.1652997759,0.2218285818,1.0589352201,-1.0191739686,0.1330087071,0.1627264299,0.026970469,0.8395336607,-0.8117630332
1,0.1,54.4544544545,45.5455455455,98.5985985986,1.4014014014,98.5,1.5,54.8548548549,54.7208121827,64.2857142857,57,57.3604060914,33.3333333333,0.0650234804,0.0630599846,0.2034499381,1.0111894616,-1.07956583,0.1090867236,0.1168883341,-0.4058195673,0.8258088741,-0.830066439
1,0.0909090909,54.4544544545,45.5455455455,100,0,100,0,54.4544544545,54.4544544545,nan,57.5,57.5,nan,0.0593325731,0.0593325731,0,1.0133888342,-1.0763492782,0.1212007406,0.1212007406,0,0.8292145248,-0.8255618778
1,0.0833333333,54.4544544545,45.5455455455,100,0,100,0,54.4544544545,54.4544544545,nan,57.5,57.5,nan,0.0593325731,0.0593325731,0,1.0133888342,-1.0763492782,0.1212007406,0.1212007406,0,0.8292145248,-0.8255618778
1,0.0769230769,54.4544544545,45.5455455455,100,0,100,0,54.4544544545,54.4544544545,nan,57.5,57.5,nan,0.0593325731,0.0593325731,0,1.0133888342,-1.0763492782,0.1212007406,0.1212007406,0,0.8292145248,-0.8255618778
1,0.0714285714,54.4544544545,45.5455455455,100,0,100,0,54.4544544545,54.4544544545,nan,57.5,57.5,nan,0.0593325731,0.0593325731,0,1.0133888342,-1.0763492782,0.1212007406,0.1212007406,0,0.8292145248,-0.8255618778
1,0.0666666667,54.4544544545,45.5455455455,100,0,100,0,54.4544544545,54.4544544545,nan,57.5,57.5,nan,0.0593325731,0.0593325731,0,1.0133888342,-1.0763492782,0.1212007406,0.1212007406,0,0.8292145248,-0.8255618778
1,0.0625,54.4544544545,45.5455455455,100,0,100,0,54.4544544545,54.4544544545,nan,57.5,57.5,nan,0.0593325731,0.0593325731,0,1.0133888342,-1.0763492782,0.1212007406,0.1212007406,0,0.8292145248,-0.8255618778
1,0.0588235294,54.4544544545,45.5455455455,100,0,100,0,54.4544544545,54.4544544545,nan,57.5,57.5,nan,0.0593325731,0.0593325731,0,1.0133888342,-1.0763492782,0.1212007406,0.1212007406,0,0.8292145248,-0.8255618778
1,0.0555555556,54.4544544545,45.5455455455,100,0,100,0,54.4544544545,54.4544544545,nan,57.5,57.5,nan,0.0593325731,0.0593325731,0,1.0133888342,-1.0763492782,0.1212007406,0.1212007406,0,0.8292145248,-0.8255618778
1,0.0526315789,54.4544544545,45.5455455455,100,0,100,0,54.4544544545,54.4544544545,nan,57.5,57.5,nan,0.0593325731,0.0593325731,0,1.0133888342,-1.0763492782,0.1212007406,0.1212007406,0,0.8292145248,-0.8255618778
1,0.05,54.4544544545,45.5455455455,100,0,100,0,54.4544544545,54.4544544545,nan,57.5,57.5,nan,0.0593325731,0.0593325731,0,1.0133888342,-1.0763492782,0.1212007406,0.1212007406,0,0.8292145248,-0.8255618778
