c','gamma','dist_plus_actual','dist_minus_act','pred_plus_train','pred_minus_train','pred_plus_test','pred_minus_test','pred_tain_accuracy_tot','pred_train_acc_plus','pred_train_acc_minus','pre_test_acc_tot','pred_test_acc_plus','pred_test_acc_minus','ret_pt_tot_train','ret_pt_tot_plus','ret_pt_train_minus','ret_pt_cor_train','ret_pt_inc_train','rt_pt_tot_test','rt_pt_plus_test','rt_pt_minus_test','rt_pt_cor_test','ret_pt_inc_test'
1,1000,56.8568568569,43.1431431431,56.8568568569,43.1431431431,99.5024875622,0.4975124378,100,100,100,62.1890547264,62,100,0.9596877731,0.9418006262,0.9877139332,0.9596877731,0,0.1266955712,0.1267974212,0.1063255784,1.1200020249,-1.5070321486
1,200,56.8568568569,43.1431431431,57.4574574575,42.5425425425,97.0149253731,2.9850746269,98.998998999,98.606271777,99.5294117647,60.6965174129,61.5384615385,33.3333333333,0.9457821616,0.9182312993,0.9829693583,0.9642949467,-0.5799798804,0.1013031017,0.116961749,-0.4076029346,1.1266254912,-1.482106158
1,100,56.8568568569,43.1431431431,60.6606606607,39.3393393393,89.0547263682,10.9452736318,94.7947947948,92.5742574257,98.2188295165,59.7014925373,62.0111731844,40.9090909091,0.8754155852,0.8118031723,0.9734174496,0.9698724718,-0.7810783344,0.0661744537,0.1076933627,-0.2716384878,1.11598234,-1.4890964889
1,20,56.8568568569,43.1431431431,71.0710710711,28.9289289289,77.6119402985,22.3880597015,75.1751751752,72.5352112676,81.660899654,61.1940298507,64.7435897436,48.8888888889,0.517670046,0.4406079821,0.707525373,0.9845773481,-0.8849194896,0.0391635677,0.1061699865,-0.1931253506,1.0666933883,-1.5811719186
1,10,56.8568568569,43.1431431431,77.5775775776,22.4224224224,88.0597014925,11.9402985075,67.2672672673,65.5483870968,73.2142857143,58.7064676617,61.581920904,37.5,0.3729879812,0.3105527797,0.5895600865,0.9925657962,-0.8925326621,0.0491441967,0.0992405147,-0.3203161484,1.1203927116,-1.4738356197
1,6.6666666667,56.8568568569,43.1431431431,80.3803803804,19.6196196196,91.0447761194,8.9552238806,64.2642642643,63.1382316314,68.8775510204,58.7064676617,61.2021857923,33.3333333333,0.3014643703,0.2552819162,0.4911423066,0.9831879249,-0.917662432,0.0225291242,0.0813702531,-0.5756890193,1.0977247897,-1.5060623039
1,4,56.8568568569,43.1431431431,82.4824824825,17.5175175175,94.5273631841,5.4726368159,61.1611611612,60.9223300971,62.2857142857,60.1990049751,61.5789473684,36.3636363636,0.2294882262,0.2051790344,0.3442276112,0.9741122547,-0.9370894186,0.1250872531,0.132620254,-0.005028218,1.1556910507,-1.4337009909
1,3.5714285714,56.8568568569,43.1431431431,82.6826826827,17.3173173173,94.0298507463,5.9701492537,61.3613613614,61.0169491525,63.0057803468,60.6965174129,61.9047619048,41.6666666667,0.229044929,0.2044154737,0.3469246343,0.9705721328,-0.9424916069,0.1593619117,0.1515473622,0.2824410664,1.1744526257,-1.4082465326
1,1.3333333333,56.8568568569,43.1431431431,86.2862862863,13.7137137137,95.0248756219,4.9751243781,59.7597597598,59.6287703016,60.5839416058,61.6915422886,62.3036649215,50,0.1805630453,0.1678134599,0.2609691892,0.9559389189,-0.9652275403,0.2020280406,0.1724104576,0.7677238744,1.1900900506,-1.3891367549
1,1,56.8568568569,43.1431431431,89.0890890891,10.9109109109,93.5323383085,6.4676616915,58.3583583584,58.5393258427,56.880733945,60.1990049751,61.7021276596,38.4615384615,0.1631431345,0.1527714844,0.2480193909,0.9639397415,-0.9537573962,0.1707140877,0.1584220487,0.3484758836,1.1935877192,-1.3763822798
1,0.1,56.8568568569,43.1431431431,100,0,100,0,56.8568568569,56.8568568569,nan,61.6915422886,61.6915422886,nan,0.1091289216,0.1091289216,0,0.9418006262,-0.9831517441,0.1256376053,0.1256376053,0,1.128176835,-1.4888411542
1,0.0909090909,56.8568568569,43.1431431431,100,0,100,0,56.8568568569,56.8568568569,nan,61.6915422886,61.6915422886,nan,0.1091289216,0.1091289216,0,0.9418006262,-0.9831517441,0.1256376053,0.1256376053,0,1.128176835,-1.4888411542
1,0.0833333333,56.8568568569,43.1431431431,100,0,100,0,56.8568568569,56.8568568569,nan,61.6915422886,61.6915422886,nan,0.1091289216,0.1091289216,0,0.9418006262,-0.9831517441,0.1256376053,0.1256376053,0,1.128176835,-1.4888411542
1,0.0769230769,56.8568568569,43.1431431431,100,0,100,0,56.8568568569,56.8568568569,nan,61.6915422886,61.6915422886,nan,0.1091289216,0.1091289216,0,0.9418006262,-0.9831517441,0.1256376053,0.1256376053,0,1.128176835,-1.4888411542
1,0.0714285714,56.8568568569,43.1431431431,100,0,100,0,56.8568568569,56.8568568569,nan,61.6915422886,61.6915422886,nan,0.1091289216,0.1091289216,0,0.9418006262,-0.9831517441,0.1256376053,0.1256376053,0,1.128176835,-1.4888411542
1,0.0666666667,56.8568568569,43.1431431431,100,0,100,0,56.8568568569,56.8568568569,nan,61.6915422886,61.6915422886,nan,0.1091289216,0.1091289216,0,0.9418006262,-0.9831517441,0.1256376053,0.1256376053,0,1.128176835,-1.4888411542
