c','gamma','dist_plus_actual','dist_minus_act','pred_plus_train','pred_minus_train','pred_plus_test','pred_minus_test','pred_tain_accuracy_tot','pred_train_acc_plus','pred_train_acc_minus','pre_test_acc_tot','pred_test_acc_plus','pred_test_acc_minus','ret_pt_tot_train','ret_pt_tot_plus','ret_pt_train_minus','ret_pt_cor_train','ret_pt_inc_train','rt_pt_tot_test','rt_pt_plus_test','rt_pt_minus_test','rt_pt_cor_test','ret_pt_inc_test'
1,1000,57.957957958,42.042042042,57.957957958,42.042042042,100,0,100,100,100,61.1940298507,61.1940298507,nan,1.0552762466,1.0233989704,1.1016235606,1.0563315229,0,0.1708363564,0.1708363564,0,0.9128322529,-0.9992340957
1,200,57.957957958,42.042042042,58.8588588589,41.1411411411,94.5273631841,5.4726368159,98.4984984985,97.9591836735,99.2700729927,60.6965174129,61.5789473684,45.4545454545,1.0344347111,0.9883137782,1.1003697342,1.0629068439,-0.6135993237,0.1655610752,0.1779365362,-0.0481968873,0.9159688635,-0.9932965218
1,100,57.957957958,42.042042042,63.1631631632,36.8368368368,87.5621890547,12.4378109453,93.3933933934,90.6497622821,98.097826087,57.7114427861,60.7954545455,36,0.9521529934,0.8559095184,1.1169927663,1.0768685259,-0.7590174739,0.1454838223,0.1806260112,-0.1019171872,0.9459520468,-0.9469198723
1,20,57.957957958,42.042042042,70.6706706707,29.3293293293,83.5820895522,16.4179104478,76.0760760761,74.0793201133,80.8873720137,60.6965174129,63.0952380952,48.4848484848,0.6116084168,0.5232941456,0.8250094546,1.0977312817,-0.9213931485,0.1768285481,0.2079781125,0.0182489474,0.9252506752,-0.9789625848
1,10,57.957957958,42.042042042,78.2782782783,21.7217217217,86.5671641791,13.4328358209,68.8688688689,67.1355498721,75.1152073733,59.7014925373,62.0689655172,44.4444444444,0.4216822532,0.3513191456,0.6758973516,1.0744443738,-1.0131431109,0.1475907765,0.1839191199,-0.0865252142,0.916184886,-0.9910671635
1,6.6666666667,57.957957958,42.042042042,81.5815815816,18.4184184184,89.0547263682,10.9452736318,66.1661661662,64.7852760736,72.2826086957,60.1990049751,62.0111731844,45.4545454545,0.3617067986,0.3003873869,0.6339783167,1.0729198398,-1.0209750257,0.1776360247,0.1956506945,0.0310621212,0.9335680477,-0.96571116
1,4,57.957957958,42.042042042,85.4854854855,14.5145145145,88.0597014925,11.9402985075,61.8618618619,61.5925058548,63.4482758621,61.1940298507,62.7118644068,50,0.2415285978,0.2164337682,0.3896746259,1.0502440528,-1.063396079,0.2392642359,0.2328537261,0.2865417452,0.9687428373,-0.9110674048
1,3.5714285714,57.957957958,42.042042042,85.5855855856,14.4144144144,89.0547263682,10.9452736318,61.7617617618,61.5204678363,63.1944444444,60.1990049751,62.0111731844,45.4545454545,0.2394091093,0.2149434092,0.3850140056,1.0502269379,-1.0633893286,0.2230079698,0.2211248871,0.2383294156,0.9712530103,-0.908712654
1,1.3333333333,57.957957958,42.042042042,93.5935935936,6.4064064064,94.5273631841,5.4726368159,59.5595595596,59.3582887701,62.5,61.6915422886,62.1052631579,54.5454545455,0.1696007999,0.1593035675,0.3203587175,1.0303377509,-1.0918240421,0.2542790355,0.2248636678,0.7623626589,0.973099648,-0.9033022106
1,1,57.957957958,42.042042042,94.2942942943,5.7057057057,94.5273631841,5.4726368159,59.4594594595,59.2356687898,63.1578947368,61.6915422886,62.1052631579,54.5454545455,0.168066484,0.1573088111,0.3462286462,1.030779523,-1.0910282215,0.2542790355,0.2248636678,0.7623626589,0.973099648,-0.9033022106
1,0.1,57.957957958,42.042042042,100,0,100,0,57.957957958,57.957957958,nan,61.1940298507,61.1940298507,nan,0.128635849,0.128635849,0,1.0233989704,-1.0990130782,0.1708363564,0.1708363564,0,0.9128322529,-0.9992340957
1,0.0909090909,57.957957958,42.042042042,100,0,100,0,57.957957958,57.957957958,nan,61.1940298507,61.1940298507,nan,0.128635849,0.128635849,0,1.0233989704,-1.0990130782,0.1708363564,0.1708363564,0,0.9128322529,-0.9992340957
1,0.0833333333,57.957957958,42.042042042,100,0,100,0,57.957957958,57.957957958,nan,61.1940298507,61.1940298507,nan,0.128635849,0.128635849,0,1.0233989704,-1.0990130782,0.1708363564,0.1708363564,0,0.9128322529,-0.9992340957
1,0.0769230769,57.957957958,42.042042042,100,0,100,0,57.957957958,57.957957958,nan,61.1940298507,61.1940298507,nan,0.128635849,0.128635849,0,1.0233989704,-1.0990130782,0.1708363564,0.1708363564,0,0.9128322529,-0.9992340957
1,0.0714285714,57.957957958,42.042042042,100,0,100,0,57.957957958,57.957957958,nan,61.1940298507,61.1940298507,nan,0.128635849,0.128635849,0,1.0233989704,-1.0990130782,0.1708363564,0.1708363564,0,0.9128322529,-0.9992340957
1,0.0666666667,57.957957958,42.042042042,100,0,100,0,57.957957958,57.957957958,nan,61.1940298507,61.1940298507,nan,0.128635849,0.128635849,0,1.0233989704,-1.0990130782,0.1708363564,0.1708363564,0,0.9128322529,-0.9992340957
1,0.0625,57.957957958,42.042042042,100,0,100,0,57.957957958,57.957957958,nan,61.1940298507,61.1940298507,nan,0.128635849,0.128635849,0,1.0233989704,-1.0990130782,0.1708363564,0.1708363564,0,0.9128322529,-0.9992340957
1,0.0588235294,57.957957958,42.042042042,100,0,100,0,57.957957958,57.957957958,nan,61.1940298507,61.1940298507,nan,0.128635849,0.128635849,0,1.0233989704,-1.0990130782,0.1708363564,0.1708363564,0,0.9128322529,-0.9992340957
1,0.0555555556,57.957957958,42.042042042,100,0,100,0,57.957957958,57.957957958,nan,61.1940298507,61.1940298507,nan,0.128635849,0.128635849,0,1.0233989704,-1.0990130782,0.1708363564,0.1708363564,0,0.9128322529,-0.9992340957
1,0.0526315789,57.957957958,42.042042042,100,0,100,0,57.957957958,57.957957958,nan,61.1940298507,61.1940298507,nan,0.128635849,0.128635849,0,1.0233989704,-1.0990130782,0.1708363564,0.1708363564,0,0.9128322529,-0.9992340957
1,0.05,57.957957958,42.042042042,100,0,100,0,57.957957958,57.957957958,nan,61.1940298507,61.1940298507,nan,0.128635849,0.128635849,0,1.0233989704,-1.0990130782,0.1708363564,0.1708363564,0,0.9128322529,-0.9992340957
