c','gamma','dist_plus_actual','dist_minus_act','pred_plus_train','pred_minus_train','pred_plus_test','pred_minus_test','pred_tain_accuracy_tot','pred_train_acc_plus','pred_train_acc_minus','pre_test_acc_tot','pred_test_acc_plus','pred_test_acc_minus','ret_pt_tot_train','ret_pt_tot_plus','ret_pt_train_minus','ret_pt_cor_train','ret_pt_inc_train','rt_pt_tot_test','rt_pt_plus_test','rt_pt_minus_test','rt_pt_cor_test','ret_pt_inc_test'
1,1000,58.5,41.5,58.5,41.5,100,0,100,100,100,50.2487562189,50.2487562189,nan,1.0779050497,1.0372215958,1.1351161568,1.0789829548,0,-0.052178756,-0.052178756,0,1.6675259546,-1.7890805137
1,200,58.5,41.5,59.7,40.3,98.0099502488,1.9900497512,98.6,97.8224455611,99.7518610422,51.2437810945,50.7614213198,75,1.0578778132,0.9995829174,1.1440215083,1.0841372443,-0.6682421264,-0.0282534212,-0.0410326589,0.6011240365,1.6584914327,-1.801056686
1,100,58.5,41.5,63.1,36.9,94.5273631841,5.4726368159,94.2,91.7591125198,98.3739837398,51.7412935323,51.0526315789,63.6363636364,0.9960789515,0.896704709,1.1655523218,1.1019416057,-0.6941349523,0.016416426,-0.0189163903,0.6267105261,1.6857109347,-1.7733426349
1,20,58.5,41.5,77.8,22.2,83.5820895522,16.4179104478,74.1,70.9511568123,85.1351351351,55.7213930348,53.5714285714,66.6666666667,0.5874698366,0.464411066,1.0167959509,1.1248584759,-0.9440877853,0.1401643546,0.0526342421,0.5857722004,1.6763446789,-1.7930063905
1,10,58.5,41.5,84.6,15.4,81.592039801,18.407960199,66.9,65.011820331,77.2727272727,53.7313432836,52.4390243902,59.4594594595,0.4096559489,0.3215064446,0.8944782224,1.1128913002,-1.0074056476,0.0572755807,0.0031233591,0.2973016442,1.6612989098,-1.8054611885
1,6.6666666667,58.5,41.5,88,12,84.5771144279,15.4228855721,64.5,63.0681818182,75,52.736318408,51.7647058824,58.064516129,0.3223752343,0.2595141441,0.7838804051,1.0865740809,-1.0621985186,0.0390427729,-0.0077656841,0.2957343113,1.6753574063,-1.7867398707
1,4,58.5,41.5,92.9,7.1,87.5621890547,12.4378109453,62,61.0333692142,74.6478873239,52.736318408,51.7045454545,60,0.2592792004,0.2118842968,0.8800856853,1.0794527697,-1.0753864503,0.043516807,-0.0049461697,0.3846961631,1.6795992971,-1.7820068136
1,3.5714285714,58.5,41.5,94,6,88.0597014925,11.9402985075,62.1,60.9574468085,80,52.2388059701,51.4124293785,58.3333333333,0.2543195986,0.2067695167,1.0000633821,1.073717289,-1.0847487324,0.0292432218,-0.0130227186,0.3409545318,1.6819336208,-1.7783869021
1,1.3333333333,58.5,41.5,99.7,0.3,99.5024875622,0.4975124378,58.8,58.6760280843,100,49.7512437811,50,0,0.1399261221,0.137591363,0.9166226529,1.0366062951,-1.1367032767,-0.0784768873,-0.0656544607,-2.642962194,1.6577715923,-1.7975347878
1,1,58.5,41.5,100,0,100,0,58.5,58.5,nan,50.2487562189,50.2487562189,nan,0.1344318804,0.1344318804,0,1.0372215958,-1.1351161568,-0.052178756,-0.052178756,0,1.6675259546,-1.7890805137
1,0.1,58.5,41.5,100,0,100,0,58.5,58.5,nan,50.2487562189,50.2487562189,nan,0.1344318804,0.1344318804,0,1.0372215958,-1.1351161568,-0.052178756,-0.052178756,0,1.6675259546,-1.7890805137
1,0.0909090909,58.5,41.5,100,0,100,0,58.5,58.5,nan,50.2487562189,50.2487562189,nan,0.1344318804,0.1344318804,0,1.0372215958,-1.1351161568,-0.052178756,-0.052178756,0,1.6675259546,-1.7890805137
1,0.0833333333,58.5,41.5,100,0,100,0,58.5,58.5,nan,50.2487562189,50.2487562189,nan,0.1344318804,0.1344318804,0,1.0372215958,-1.1351161568,-0.052178756,-0.052178756,0,1.6675259546,-1.7890805137
1,0.0769230769,58.5,41.5,100,0,100,0,58.5,58.5,nan,50.2487562189,50.2487562189,nan,0.1344318804,0.1344318804,0,1.0372215958,-1.1351161568,-0.052178756,-0.052178756,0,1.6675259546,-1.7890805137
1,0.0714285714,58.5,41.5,100,0,100,0,58.5,58.5,nan,50.2487562189,50.2487562189,nan,0.1344318804,0.1344318804,0,1.0372215958,-1.1351161568,-0.052178756,-0.052178756,0,1.6675259546,-1.7890805137
1,0.0666666667,58.5,41.5,100,0,100,0,58.5,58.5,nan,50.2487562189,50.2487562189,nan,0.1344318804,0.1344318804,0,1.0372215958,-1.1351161568,-0.052178756,-0.052178756,0,1.6675259546,-1.7890805137
1,0.0625,58.5,41.5,100,0,100,0,58.5,58.5,nan,50.2487562189,50.2487562189,nan,0.1344318804,0.1344318804,0,1.0372215958,-1.1351161568,-0.052178756,-0.052178756,0,1.6675259546,-1.7890805137
1,0.0588235294,58.5,41.5,100,0,100,0,58.5,58.5,nan,50.2487562189,50.2487562189,nan,0.1344318804,0.1344318804,0,1.0372215958,-1.1351161568,-0.052178756,-0.052178756,0,1.6675259546,-1.7890805137
1,0.0555555556,58.5,41.5,100,0,100,0,58.5,58.5,nan,50.2487562189,50.2487562189,nan,0.1344318804,0.1344318804,0,1.0372215958,-1.1351161568,-0.052178756,-0.052178756,0,1.6675259546,-1.7890805137
1,0.0526315789,58.5,41.5,100,0,100,0,58.5,58.5,nan,50.2487562189,50.2487562189,nan,0.1344318804,0.1344318804,0,1.0372215958,-1.1351161568,-0.052178756,-0.052178756,0,1.6675259546,-1.7890805137
1,0.05,58.5,41.5,100,0,100,0,58.5,58.5,nan,50.2487562189,50.2487562189,nan,0.1344318804,0.1344318804,0,1.0372215958,-1.1351161568,-0.052178756,-0.052178756,0,1.6675259546,-1.7890805137
1,0.0476190476,58.5,41.5,100,0,100,0,58.5,58.5,nan,50.2487562189,50.2487562189,nan,0.1344318804,0.1344318804,0,1.0372215958,-1.1351161568,-0.052178756,-0.052178756,0,1.6675259546,-1.7890805137
1,0.0454545455,58.5,41.5,100,0,100,0,58.5,58.5,nan,50.2487562189,50.2487562189,nan,0.1344318804,0.1344318804,0,1.0372215958,-1.1351161568,-0.052178756,-0.052178756,0,1.6675259546,-1.7890805137
1,0.0434782609,58.5,41.5,100,0,100,0,58.5,58.5,nan,50.2487562189,50.2487562189,nan,0.1344318804,0.1344318804,0,1.0372215958,-1.1351161568,-0.052178756,-0.052178756,0,1.6675259546,-1.7890805137
1,0.0416666667,58.5,41.5,100,0,100,0,58.5,58.5,nan,50.2487562189,50.2487562189,nan,0.1344318804,0.1344318804,0,1.0372215958,-1.1351161568,-0.052178756,-0.052178756,0,1.6675259546,-1.7890805137
1,0.04,58.5,41.5,100,0,100,0,58.5,58.5,nan,50.2487562189,50.2487562189,nan,0.1344318804,0.1344318804,0,1.0372215958,-1.1351161568,-0.052178756,-0.052178756,0,1.6675259546,-1.7890805137
1,0.0384615385,58.5,41.5,100,0,100,0,58.5,58.5,nan,50.2487562189,50.2487562189,nan,0.1344318804,0.1344318804,0,1.0372215958,-1.1351161568,-0.052178756,-0.052178756,0,1.6675259546,-1.7890805137
1,0.037037037,58.5,41.5,100,0,100,0,58.5,58.5,nan,50.2487562189,50.2487562189,nan,0.1344318804,0.1344318804,0,1.0372215958,-1.1351161568,-0.052178756,-0.052178756,0,1.6675259546,-1.7890805137
1,0.0357142857,58.5,41.5,100,0,100,0,58.5,58.5,nan,50.2487562189,50.2487562189,nan,0.1344318804,0.1344318804,0,1.0372215958,-1.1351161568,-0.052178756,-0.052178756,0,1.6675259546,-1.7890805137
