# RSI,MACD,MACD,MACD,WILLR,STOCH,STOCH,STOCHRSI,STOCHRSI,CCI,ROC,OBV,AD,MOM,SMA,WMA,EMA,TSF,BBANDS,BBANDS,BBANDS,TEMA,ADX,MFI,ATR,DS5,DS10,DW5,DW10,OCRSI
6.657555880868932263e+01,1.253434893580674725e+00,1.759357532651992573e+00,-5.059226390713178478e-01,-3.085106382978720063e+01,4.637793487636847090e+01,5.363334014688928164e+01,nan,nan,6.305070656691614062e+01,8.467237563744678397e-01,2.050104800000000000e+07,2.741792822000809759e+07,8.799999999999954525e-01,1.045970000000000084e+02,1.045272727272727309e+02,1.037209133412951587e+02,1.043413333333333384e+02,1.070530188574994099e+02,1.043219999999999743e+02,1.015909811425005387e+02,nan,nan,7.794707383373054199e+01,3.549890670553936367e+00,1.004677824428212851e+00,1.002036387276881602e+00,1.004331244370340492e+00,1.002704818229257278e+00,7.026576618581017897e+01
6.511397745423089134e+01,1.050700883179032985e+00,1.523138649494339303e+00,-4.724377663153063178e-01,-3.808532778355876047e+01,5.617232092982535363e+01,6.755037115588551444e+01,nan,nan,3.190627496887560000e+01,2.034030901623307130e+00,5.339165000000000000e+06,1.931157493287938088e+07,2.079999999999998295e+00,1.048049999999999926e+02,1.044805454545454637e+02,1.038334745519687630e+02,1.036153333333332682e+02,1.070647024737249069e+02,1.043339999999999890e+02,1.016032975262750710e+02,nan,nan,7.033142563240180323e+01,3.440612765514369453e+00,1.000057507619759756e+00,9.955631887791613899e-01,9.997700356444748637e-01,9.986548169907228933e-01,7.307805552870681254e+01
6.834630558806846068e+01,1.173692269333983518e+00,1.406656522774220708e+00,-2.329642534402371901e-01,-1.696149843912586519e+01,6.485460433225613031e+01,7.338010169399359484e+01,nan,nan,9.748764457651159887e+01,-2.625410220346902079e-01,1.731605300000000000e+07,2.338371685287941992e+07,-2.800000000000011369e-01,1.047770000000000010e+02,1.047650909090909011e+02,1.042946609970653498e+02,1.047333333333332632e+02,1.075283350635624799e+02,1.044779999999999944e+02,1.014276649364375089e+02,nan,nan,7.101395216549798306e+01,3.410568996549057097e+00,1.018109075594862079e+00,1.015203718373307140e+00,1.012636135157777062e+00,1.015319120873018122e+00,7.584901173661636165e+01
7.140985877655123204e+01,1.512515882517249111e+00,1.441942976021896916e+00,7.057290649535219451e-02,-1.872000000000002728e+01,7.290345886468902847e+01,7.777990374418797614e+01,nan,nan,2.292767049670144104e+02,2.078239608801957239e+00,7.364099200000000000e+07,1.446095423901803978e+07,2.209999999999993747e+00,1.049980000000000047e+02,1.054510909090908939e+02,1.050683589975989207e+02,1.066593333333333788e+02,1.088652272641917449e+02,1.058399999999999892e+02,1.028147727358082335e+02,nan,nan,7.770618210666695802e+01,3.489814068224124100e+00,1.025604686318972059e+00,1.033829215794586531e+00,1.020206766917292951e+00,1.029387169579693229e+00,7.594424067879334928e+01
7.358232137736357004e+01,1.903937854567516297e+00,1.595941268870436636e+00,3.079965856970796612e-01,-4.960000000000036380e+00,7.943236868721966459e+01,8.713710062347740859e+01,1.000000000000000000e+02,1.000000000000000000e+02,1.764617440694959214e+02,5.471066475370633952e+00,9.927297700000000000e+07,3.701876275603582710e+07,5.719999999999998863e+00,1.055700000000000074e+02,1.064096363636363520e+02,1.060141119071263915e+02,1.086486666666666281e+02,1.113648326631094534e+02,1.068679999999999808e+02,1.023711673368905082e+02,nan,nan,6.879607445367719265e+01,3.681255920493829326e+00,1.031833663959277114e+00,1.044520223548356386e+00,1.022185829496647047e+00,1.036278327492554663e+00,7.825290118265591843e+01
7.513221081059910489e+01,2.253015067881264599e+00,1.814965868540712624e+00,4.380491993405519757e-01,-9.159779614325058716e+00,8.360963498783958414e+01,8.591190059585335348e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.363803443606098540e+02,6.713848508033670726e+00,1.281143000000000000e+08,3.335249288315450400e+07,7.019999999999996021e+00,1.062720000000000056e+02,1.075023636363636399e+02,1.070260915603761447e+02,1.107833333333332746e+02,1.134433316309166315e+02,1.082219999999999800e+02,1.030006683690833285e+02,nan,nan,7.363340108391848560e+01,3.606880497601412827e+00,1.031028811147456370e+00,1.049947305028605671e+00,1.019485780070779501e+00,1.037930667063557078e+00,7.039524915376397018e+01
6.956285530963820918e+01,2.137633154894530207e+00,1.922521630658651892e+00,2.151115242358783153e-01,-2.059228650137738015e+01,8.451466057907049390e+01,8.049498051788067698e+01,1.792759671223443263e+01,7.264253223741148702e+01,1.286261631089212187e+02,5.408515535097824234e+00,1.154513370000000000e+08,3.156897696766155958e+07,5.640000000000000568e+00,1.068360000000000127e+02,1.081656363636363523e+02,1.075522567312168434e+02,1.117113333333333571e+02,1.128779299428138927e+02,1.093379999999999654e+02,1.057980700571860382e+02,nan,nan,6.862783435532119825e+01,3.653531890629882373e+00,1.005322943532898305e+00,1.028866674154779171e+00,9.991516179856982927e-01,1.016219232792804350e+00,7.586387238698547719e+01
6.698577506813818161e+01,1.865455120213084683e+00,1.903499460510129415e+00,-3.804434029704473197e-02,-2.610192837465559990e+01,7.829247560629011105e+01,6.847054570513627425e+01,0.000000000000000000e+00,3.930919890407815132e+01,8.425993388151204044e+01,3.284429720776138595e+00,1.117667000000000000e+08,3.057385602605572343e+07,3.469999999999998863e+00,1.071830000000000211e+02,1.085809090909090884e+02,1.078373009619046883e+02,1.123086666666666957e+02,1.119645124608417177e+02,1.098879999999999626e+02,1.078114875391582075e+02,nan,nan,6.439674724573565356e+01,3.588279612727747203e+00,9.930110658124640111e-01,1.018071895729733001e+00,9.925353675618965310e-01,1.004964877468833562e+00,7.697429978635773296e+01
6.194991603972852801e+01,1.389817338970843252e+00,1.732272086663700694e+00,-3.424547476928574419e-01,-3.732782369146007539e+01,6.697806618736863982e+01,5.196867233908891848e+01,0.000000000000000000e+00,5.975865570744815614e+00,3.765244496395842333e+01,5.651661096913707105e+00,1.049341160000000000e+08,2.713493957572458684e+07,5.750000000000000000e+00,1.077580000000000098e+02,1.086367272727272706e+02,1.077741553324674726e+02,1.109800000000000040e+02,1.123778985917371358e+02,1.096759999999999593e+02,1.069741014082627828e+02,nan,nan,6.554739559691323336e+01,3.547688211818623039e+00,9.800685655932021012e-01,9.975129456745669421e-01,9.848697713057067427e-01,9.894443867970316164e-01,7.039809251638610021e+01
5.879593476083634584e+01,8.875975815175962680e-01,1.450713918281665959e+00,-5.631163367640696915e-01,-4.476584022038568378e+01,5.113962957541872356e+01,3.297967068203093532e+01,0.000000000000000000e+00,4.736951571734000976e-15,3.558972168836834205e-01,1.217540188338239737e+00,9.936033900000000000e+07,2.427659239623736963e+07,1.280000000000001137e+00,1.078860000000000099e+02,1.083916363636363513e+02,1.075261270902006601e+02,1.097400000000000944e+02,1.125326989403970828e+02,1.089039999999999537e+02,1.052753010596028247e+02,nan,nan,6.164607605831950821e+01,3.461424768117292938e+00,9.770990964519213895e-01,9.863188921639507445e-01,9.847975370035592091e-01,9.817178111695972209e-01,7.069600770240965915e+01
