0 : date,1 : day,2 : o,3 : h,4 : l,5 : c,6 : v,7 : o_,8 : l1,9 : l2,10 : l3,11 : l4,12 : l5,13 : l6,14 : l7,15 : l8,16 : l9,17 : l10,18 : yoc_past,19 : RSI,20 : MACD,21 : MACDsig,22 : MACDhist,23 : WILLR,24 : slowk,25 : slowd,26 : fastk,27 : fastd,28 : CCI,29 : ROC,30 : OBV,31 : AD,32 : MOM,33 : SMA,34 : WMA,35 : EMA,36 : TSF,37 : BBANDSu,38 : BBANDSm,39 : BBANDSl,40 : TEMA,41 : ADX,42 : MFI,43 : ATR,44 : yoc_actual,45 : yoc2,46 : yoc1,47 : ycc_a,48 : ycc2,49 : ycc1,50 : ycc_a,51 : ycc2,52 : ycc1,53 : ycc_a,54 : ycc2,55 : ycc1,56 : ycc_a,57 : ycc2,58 : ycc1,59 : ycc_a,60 : ycc2,61 : ycc1,62 : ycc_a,63 : ycc2,64 : ycc1,65 : ycc_a,66 : ycc2,67 : ycc1,68 : ycc_a,69 : ycc2,70 : ycc1,71 : ycc_a,72 : ycc2,73 : ycc1,74 : ycc_a,75 : ycc2,76 : ycc10
19-11-2012,Monday,190.47,191.28,185.82,186.78,13092530.0,186.93,-4.969999999999999,-5.900000000000006,-5.659999999999997,-5.800000000000011,-8.859999999999985,-11.939999999999998,-9.710000000000008,-9.159999999999997,-9.52000000000001,-5.469999999999999,1.759999999999991,39.987633074897474,0.4367757781723469,1.5548944496479924,-1.1181186714756455,-93.20594479830143,15.729656234729148,17.30343958842639,0.0,1.2193691447337918,-164.3730466562825,-2.845253576072826,1503911810.0,-196879696.3323864,-5.469999999999999,193.9319999999999,192.51418181819886,192.39325545213848,188.7333333333334,195.7591558802204,191.24600000000044,186.73284411978048,189.51058595715108,16.23127533356457,28.692661434930645,4.361371252516895,-3.6899999999999977,-2.0,-1.0,-1.1200000000000045,-1.0,-1.0,-0.5800000000000125,-1.0,-1.0,3.1200000000000045,1.0,1.0,0.9699999999999989,1.0,1.0,-0.4000000000000057,-1.0,-1.0,-1.6299999999999955,-1.0,-1.0,1.240000000000009,1.0,1.0,9.900000000000006,2.0,1.0,13.189999999999998,2.0,1.0,13.639999999999986,2.0,1.0
20-11-2012,Tuesday,186.93,187.89,184.76,185.66,9793987.0,187.42,-1.1200000000000045,-6.090000000000003,-7.02000000000001,-6.780000000000001,-6.920000000000016,-9.97999999999999,-13.060000000000002,-10.830000000000013,-10.280000000000001,-10.640000000000015,1.0700000000000216,38.36498665706053,-0.151996926387568,1.2135161744408802,-1.3655131008284482,-94.0750493745885,16.945821879720473,15.595964788215127,0.0,2.7474319116057206e-13,-174.74766239395564,-5.420275089149273,1494117823.0,-201041358.54005408,-10.640000000000015,192.8679999999999,191.0101818181989,191.1690271881133,186.0560000000001,195.8824504814201,189.86200000000042,183.84154951858073,187.1954380241202,17.23888380657569,29.377812926613288,4.273416163051402,-1.2700000000000102,-1.0,-1.0,0.539999999999992,1.0,1.0,4.240000000000009,2.0,1.0,2.0900000000000034,1.0,1.0,0.7199999999999989,1.0,1.0,-0.5099999999999909,-1.0,-1.0,2.3600000000000136,1.0,1.0,11.02000000000001,2.0,1.0,14.310000000000002,2.0,1.0,14.759999999999991,2.0,1.0,17.860000000000014,2.0,1.0
21-11-2012,Wednesday,187.42,188.03,184.55,186.2,8967777.0,187.27,0.539999999999992,-0.5800000000000125,-5.550000000000011,-6.480000000000018,-6.240000000000009,-6.380000000000024,-9.439999999999998,-12.52000000000001,-10.29000000000002,-9.740000000000009,0.18999999999999773,39.63682149677468,-0.5684770005996143,0.8571175394327812,-1.4255945400323955,-89.28571428571442,15.121745890217072,12.46583329400921,10.682213610761186,3.5607378702540036,-137.6994256541167,-4.970909462080231,1503085600.0,-201505209.07453692,-9.740000000000009,191.89399999999992,189.7978181818353,190.26556769936542,184.20800000000025,194.56606989199827,188.61400000000043,182.6619301080026,185.98811187639694,18.213929792174046,38.838961979585854,4.216743579976301,-1.2199999999999989,-1.0,-1.0,3.700000000000017,2.0,1.0,1.5500000000000114,1.0,1.0,0.18000000000000682,1.0,1.0,-1.049999999999983,-1.0,-1.0,1.8200000000000216,1.0,1.0,10.480000000000018,2.0,1.0,13.77000000000001,2.0,1.0,14.219999999999999,2.0,1.0,17.32000000000002,2.0,1.0,17.400000000000006,2.0,1.0
22-11-2012,Thursday,187.27,190.36,186.65,189.9,9800725.0,190.09,3.700000000000017,4.240000000000009,3.1200000000000045,-1.8499999999999943,-2.780000000000001,-2.539999999999992,-2.680000000000007,-5.739999999999981,-8.819999999999993,-6.590000000000003,0.9000000000000057,47.61339107095046,-0.5931439875110698,0.567065234044011,-1.1602092215550808,-65.25974025974024,20.18146202294123,32.48258798659886,91.90970703997459,34.19730688357887,-72.2185624359536,-3.353860247340834,1512886325.0,-194134852.53814882,-6.590000000000003,191.23499999999993,189.4352727272899,190.19910084493534,184.6360000000002,192.77898972665895,188.05800000000042,183.3370102733419,186.970347726881,18.31105129930328,46.62728192424962,4.2126904671208525,2.6299999999999955,2.0,1.0,-2.1500000000000057,-1.0,-1.0,-3.5200000000000102,-1.0,-1.0,-4.75,-2.0,-1.0,-1.8799999999999955,-1.0,-1.0,6.780000000000001,2.0,1.0,10.069999999999993,2.0,1.0,10.519999999999982,2.0,1.0,13.620000000000005,2.0,1.0,13.699999999999989,2.0,1.0,16.590000000000003,2.0,1.0
23-11-2012,Friday,190.09,191.64,187.27,187.75,15855147.0,188.65,-2.1500000000000057,1.5500000000000114,2.0900000000000034,0.9699999999999989,-4.0,-4.930000000000007,-4.689999999999998,-4.8300000000000125,-7.889999999999986,-10.969999999999999,1.8000000000000114,43.9768415069236,-0.777220470276319,0.29820809317994496,-1.075428563456264,-79.22077922077926,29.820199245371725,44.51217645550662,60.679167980963,54.42369621056653,-64.76715686274592,-5.520330112721417,1497031178.0,-206506946.65027702,-10.969999999999999,190.13799999999992,188.80163636365356,189.75380978221983,185.2380000000002,190.24110978664928,187.25800000000044,184.2748902133516,186.7603886534146,17.98564410608063,38.5748335430256,4.223926862326504,-2.3400000000000034,-2.0,-1.0,-1.3700000000000045,-1.0,-1.0,-2.5999999999999943,-1.0,-1.0,0.27000000000001023,1.0,1.0,8.930000000000007,2.0,1.0,12.219999999999999,2.0,1.0,12.669999999999987,2.0,1.0,15.77000000000001,2.0,1.0,15.849999999999994,2.0,1.0,18.74000000000001,2.0,1.0,18.00999999999999,2.0,1.0
26-11-2012,Monday,188.65,188.9,185.49,186.38,12372706.0,188.18,-1.3700000000000045,-3.5200000000000102,0.18000000000000682,0.7199999999999989,-0.4000000000000057,-5.3700000000000045,-6.300000000000011,-6.060000000000002,-6.200000000000017,-9.259999999999991,2.1999999999999886,41.786733122901346,-1.0218704727815577,0.034192379987644406,-1.0560628527692022,-88.1168831168832,41.26775619496125,46.80850414277779,36.998235724875826,63.19570358193808,-88.40309863687528,-4.733183398078101,1484658472.0,-212421172.68546772,-9.259999999999991,189.21199999999993,188.11836363638088,189.14038982181623,185.20200000000014,190.22878088351484,187.17800000000042,184.127219116486,186.0871103040164,18.10189852686965,30.20038353842726,4.165789229303182,-2.2700000000000102,-1.0,-1.0,-1.2299999999999898,-1.0,-1.0,1.6400000000000148,1.0,1.0,10.300000000000011,2.0,1.0,13.590000000000003,2.0,1.0,14.039999999999992,2.0,1.0,17.140000000000015,2.0,1.0,17.22,2.0,1.0,20.110000000000014,2.0,1.0,19.379999999999995,2.0,1.0,17.52000000000001,2.0,1.0
27-11-2012,Tuesday,188.18,188.18,184.55,185.15,11108696.0,187.35,-1.2299999999999898,-2.5999999999999943,-4.75,-1.049999999999983,-0.5099999999999909,-1.6299999999999955,-6.599999999999994,-7.530000000000001,-7.289999999999992,-7.430000000000007,2.8899999999999864,39.86706958831436,-1.3000222357382825,-0.23265054315754097,-1.0673716925807415,-96.10389610389613,39.26329535065852,26.469205453690645,2.8865552967168844,33.521319667518846,-91.91550691347972,-3.858136878180496,1473549776.0,-219857572.48712063,-7.430000000000007,188.46899999999997,187.37981818183547,188.41486439966783,184.4753333333333,190.34898273738372,187.07600000000042,183.80301726261712,185.16442823857312,18.4233971970887,29.44088345157453,4.12751857006724,-3.030000000000001,-2.0,-1.0,2.8700000000000045,2.0,1.0,11.530000000000001,2.0,1.0,14.819999999999993,2.0,1.0,15.269999999999982,2.0,1.0,18.370000000000005,2.0,1.0,18.44999999999999,2.0,1.0,21.340000000000003,2.0,1.0,20.609999999999985,2.0,1.0,18.75,2.0,1.0,18.97,2.0,1.0
29-11-2012,Thursday,187.35,188.59,186.41,188.02,30901959.0,190.91,2.8700000000000045,1.6400000000000148,0.27000000000001023,-1.8799999999999955,1.8200000000000216,2.3600000000000136,1.240000000000009,-3.7299999999999898,-4.659999999999997,-4.4199999999999875,3.319999999999993,46.09028970624307,-1.274186468986585,-0.4409577283233498,-0.8332287406632352,-77.46753246753244,33.67210285404945,27.738598965679415,80.3377465275418,40.07417918304511,-51.60465678654102,-2.29681978798586,1504451735.0,-205115353.5146433,-4.4199999999999875,188.02699999999996,187.29818181819917,188.3430708724555,185.35466666666662,190.64646846222408,187.44000000000042,184.23353153777677,185.93267057935515,18.57157211589774,38.211576821017005,4.078410100776723,0.6700000000000159,1.0,1.0,8.659999999999997,2.0,1.0,11.949999999999989,2.0,1.0,12.399999999999977,2.0,1.0,15.5,2.0,1.0,15.579999999999984,2.0,1.0,18.47,2.0,1.0,17.73999999999998,2.0,1.0,15.879999999999995,2.0,1.0,16.099999999999994,2.0,1.0,14.379999999999995,2.0,1.0
30-11-2012,Friday,190.91,197.45,190.12,196.68,50446946.0,200.0,8.659999999999997,11.530000000000001,10.300000000000011,8.930000000000007,6.780000000000001,10.480000000000018,11.02000000000001,9.900000000000006,4.930000000000007,4.0,-0.8799999999999955,59.6574000274086,-0.5485979170416613,-0.4624857660670121,-0.0861121509746492,-5.968992248061885,34.895468499627874,50.47860107951308,100.0,61.074767274753164,106.92784569039443,2.0759809009757157,1554898681.0,-165267083.75475222,4.0,188.42699999999996,188.87145454547195,189.8588761683727,190.05666666666667,196.94383995910707,188.79600000000042,180.64816004089377,190.4415338186891,18.238150607843856,49.436816515414186,4.460666522149813,5.77000000000001,2.0,1.0,3.289999999999992,2.0,1.0,3.7399999999999807,2.0,1.0,6.840000000000003,2.0,1.0,6.9199999999999875,2.0,1.0,9.810000000000002,2.0,1.0,9.079999999999984,2.0,1.0,7.219999999999999,2.0,1.0,7.439999999999998,2.0,1.0,5.719999999999999,1.0,1.0,7.180000000000007,1.0,1.0
03-12-2012,Monday,200.0,200.9,198.31,199.97,22979440.0,199.09,3.289999999999992,11.949999999999989,14.819999999999993,13.590000000000003,12.219999999999999,10.069999999999993,13.77000000000001,14.310000000000002,13.189999999999998,8.219999999999999,-0.05999999999997385,63.42344770879053,0.288585112739014,-0.31227159030580687,0.6008567030448209,-5.688073394495456,52.43741184070719,79.09503547692857,100.0,93.44591550918086,190.96093937215488,4.286831812255532,1577878121.0,-158790253.17560175,8.219999999999999,189.24899999999997,190.97018181819928,191.69726231957765,195.5600000000001,203.13563281205523,191.2400000000004,179.34436718794558,194.96963990455356,18.586074589960436,57.034806596021134,4.443476056281969,-0.030000000000001137,-1.0,-1.0,0.44999999999998863,1.0,1.0,3.5500000000000114,1.0,1.0,3.6299999999999955,1.0,1.0,6.52000000000001,2.0,1.0,5.789999999999992,1.0,1.0,3.930000000000007,1.0,1.0,4.150000000000006,1.0,1.0,2.430000000000007,1.0,1.0,3.890000000000015,1.0,1.0,6.5800000000000125,1.0,1.0
