0.0000,0.0000,0.5500
7.5000,-6.7000,14.7500
-55.2000,-12.3000,-28.1500
25.5000,-17.6000,14.9500
-4.3000,16.6000,-5.9500
28.4500,-7.8000,30.3000
17.7000,38.9000,9.1000
18.7000,6.1000,21.7000
18.2500,30.9000,9.0500
-15.0500,12.3000,-18.3000
0.2500,-19.4000,1.3500
7.8000,-1.0000,10.1500
-2.5500,2.6500,4.9500
25.8000,8.3500,22.4000
-27.7500,32.0000,-37.3500
-7.4500,-47.4500,2.6500
11.0500,17.4500,-3.7500
9.4500,-8.0000,13.7000
22.4500,14.1500,22.0000
15.9500,27.0000,10.9500
11.2500,0.4500,21.7500
34.6500,23.1000,33.3000
-24.5500,4.7000,4.0500
-5.2500,2.8000,-4.0000
20.8000,-7.2000,24.0000
-1.9000,23.7000,-1.6000
-23.0000,3.3000,-27.9000
37.7500,-31.0000,40.8500
-8.5500,35.0000,-2.7000
5.0500,-5.0000,7.3500
10.5500,5.0000,12.9000
11.4500,17.0000,7.3500
-12.2500,6.0000,-10.9000
-10.5500,-9.0000,-12.4500
11.0500,-6.0000,4.6000
12.0500,7.1500,9.5000
15.7000,13.8500,11.3500
-9.9000,13.3000,-11.8500
7.7500,-11.3000,7.2000
9.7500,23.0000,-6.0500
30.6000,-5.0000,29.5500
16.3000,31.5500,14.3000
3.4500,20.6000,-2.8500
10.2000,-22.7500,30.1000
2.1500,22.6000,9.6500
-13.4500,9.0000,-12.8000
27.9500,-12.6000,27.7500
24.0500,32.5000,19.3000
-12.3500,-10.8500,17.8000
17.0500,20.9500,13.9000
-26.9500,13.0000,-26.0500
26.5000,-18.1500,18.6000
-58.6500,17.1500,-57.2000
23.7500,-45.8500,12.4000
20.6000,21.8000,11.2000
5.3000,8.0500,8.4500
-22.5500,6.0000,-20.1000
-20.0000,-14.0500,-26.0500
31.0500,-22.8500,27.8500
31.7500,47.2000,12.4000
1.6000,10.6000,3.4000
2.1000,10.6000,-5.1000
-11.8000,1.2000,-18.1000
39.1500,-19.6000,40.6500
20.3500,46.2500,14.7500
13.2000,17.6500,10.3000
20.8500,11.0000,20.1500
-10.1500,-1.0000,11.0000
39.8500,11.1000,39.7500
-8.7500,47.6000,-16.6000
16.6500,-7.7000,7.7500
-7.9000,0.0000,-0.1500
-34.3500,-5.0000,-29.5000
-10.1500,-30.0000,-9.6500
54.6000,1.0000,43.9500
20.9500,49.0000,15.9000
-20.4500,18.0000,-22.5500
4.1000,-16.6500,-1.8000
40.0500,-13.2500,51.5000
-21.7500,57.4000,-27.6500
1.9500,-25.5000,-0.2000
-19.2500,1.1000,-20.5500
-38.6000,-19.9000,-39.2500
-3.8000,-41.1000,-1.9500
25.6500,21.9000,1.8000
-13.2500,-12.0000,0.5500
-26.1000,-8.0000,-17.5500
40.4500,-14.0000,36.9000
