open,high,low,clos,volm,sto,will,prate,bvol,sma1,sma2,wma1,wma2,std,ema1,ema2,ycc,yoo,yoc
1305.00,	1310.00,	1287.00,	1294.05,	96818.00,	60.36,	-39.64,	-0.00300474,	-7378392.00,	1313.30,	1320.70,	1315.59,	1323.26,	68.67,	1325.81,	1329.14,	-1,	-1,	-1
1300.00,	1310.00,	1291.10,	1294.40,	93366.00,	9.71,	-90.29,	-0.03189858,	-7285026.00,	1312.59,	1319.84,	1320.47,	1326.31,	70.14,	1326.17,	1330.46,	1,	-1,	-1
1299.00,	1310.00,	1291.00,	1294.55,	98606.00,	9.77,	-90.23,	-0.02441690,	-7186420.00,	1304.09,	1316.89,	1309.48,	1325.02,	71.92,	1322.27,	1328.67,	1,	-1,	-1
1296.00,	1304.50,	1275.00,	1289.80,	262461.00,	13.74,	-86.26,	-0.01579550,	-7448881.00,	1296.66,	1311.95,	1299.39,	1320.07,	73.63,	1316.35,	1320.74,	-1,	-1,	-1
1295.00,	1320.00,	1280.30,	1290.55,	464259.00,	16.37,	-83.63,	-0.00270469,	-6984622.00,	1292.67,	1307.04,	1293.44,	1314.13,	69.41,	1310.17,	1318.22,	1,	-1,	-1
1295.10,	1315.00,	1260.00,	1276.40,	245625.00,	18.43,	-81.57,	-0.01390606,	-7230247.00,	1289.14,	1301.22,	1291.81,	1308.06,	65.28,	1309.92,	1319.21,	-1,	1,	-1
1290.00,	1298.00,	1275.00,	1286.55,	120825.00,	29.83,	-70.17,	-0.00617975,	-7109422.00,	1287.57,	1300.08,	1289.53,	1308.45,	63.34,	1303.99,	1318.07,	1,	-1,	-1
1294.80,	1325.00,	1280.00,	1315.25,	170631.00,	62.08,	-37.92,	0.01973174,	-6938791.00,	1291.71,	1297.90,	1288.58,	1301.33,	51.36,	1297.83,	1314.80,	1,	1,	1
1322.00,	1334.00,	1308.00,	1317.35,	156801.00,	64.44,	-35.56,	0.02076634,	-6781990.00,	1297.22,	1296.94,	1291.06,	1295.88,	43.30,	1294.37,	1310.69,	1,	1,	-1
1315.00,	1343.70,	1305.00,	1334.00,	237580.00,	83.15,	-16.85,	0.04512692,	-6544410.00,	1305.91,	1299.29,	1296.18,	1293.84,	36.09,	1295.18,	1307.13,	1,	-1,	1
1334.00,	1335.00,	1315.35,	1320.35,	60920.00,	67.81,	-32.19,	0.02627181,	-6605330.00,	1314.70,	1301.92,	1308.94,	1295.27,	29.90,	1296.45,	1308.15,	-1,	1,	-1
1310.00,	1325.00,	1306.00,	1311.65,	58664.00,	61.71,	-38.29,	-0.00273712,	-6663994.00,	1319.72,	1303.64,	1320.00,	1296.95,	24.52,	1297.60,	1304.30,	-1,	-1,	1
1311.00,	1318.00,	1300.00,	1307.75,	96488.00,	57.05,	-42.95,	-0.00728736,	-6760482.00,	1318.22,	1304.96,	1320.99,	1298.84,	30.91,	1299.81,	1300.33,	-1,	1,	-1
1309.90,	1319.00,	1295.00,	1300.55,	75817.00,	48.45,	-51.55,	-0.02507496,	-6836299.00,	1314.86,	1306.04,	1320.16,	1301.80,	32.32,	1302.33,	1298.24,	-1,	-1,	-1
1300.00,	1349.50,	1300.00,	1341.50,	457913.00,	91.06,	-8.94,	0.01601848,	-6378386.00,	1316.36,	1311.13,	1314.28,	1305.54,	26.69,	1310.00,	1299.66,	1,	-1,	1
1338.90,	1360.00,	1327.25,	1345.10,	225677.00,	85.10,	-14.90,	0.02550223,	-6152709.00,	1321.31,	1318.00,	1314.60,	1313.10,	24.51,	1318.23,	1301.71,	1,	1,	1
1345.55,	1354.00,	1315.00,	1329.05,	200269.00,	69.05,	-30.95,	0.01628752,	-6352978.00,	1324.79,	1322.25,	1318.98,	1319.59,	26.03,	1321.08,	1303.62,	-1,	1,	-1
1320.00,	1332.50,	1308.50,	1325.95,	262128.00,	65.95,	-34.05,	0.01953020,	-6615106.00,	1328.43,	1323.33,	1325.87,	1321.06,	24.31,	1322.39,	1306.40,	-1,	-1,	1
1302.00,	1325.00,	1300.00,	1317.00,	28991.00,	57.00,	-43.00,	-0.01826314,	-6644097.00,	1331.72,	1323.29,	1336.26,	1322.14,	29.07,	1320.04,	1309.36,	-1,	-1,	1
1299.00,	1336.40,	1299.00,	1329.95,	259114.00,	69.95,	-30.05,	-0.01126310,	-6384983.00,	1329.41,	1322.88,	1332.23,	1320.12,	40.64,	1319.60,	1315.10,	1,	-1,	1
1325.00,	1334.65,	1315.10,	1329.80,	130884.00,	64.47,	-35.53,	0.00056431,	-6515867.00,	1326.35,	1323.83,	1325.98,	1320.75,	45.66,	1321.63,	1320.52,	-1,	1,	1
1317.00,	1334.85,	1317.00,	1327.45,	64305.00,	59.31,	-40.69,	0.00113126,	-6580172.00,	1326.03,	1325.41,	1324.98,	1323.26,	52.26,	1325.32,	1322.26,	-1,	-1,	1
1325.00,	1329.00,	1295.00,	1298.95,	66690.00,	6.08,	-93.92,	-0.01370539,	-6646862.00,	1320.63,	1324.53,	1323.20,	1326.31,	58.46,	1330.35,	1322.54,	-1,	1,	-1
1314.80,	1315.00,	1288.10,	1300.10,	262230.00,	16.69,	-83.31,	-0.02244445,	-6384632.00,	1317.25,	1324.49,	1323.29,	1330.66,	60.88,	1328.46,	1320.44,	1,	-1,	-1
1295.35,	1302.00,	1265.20,	1297.35,	60780.00,	33.91,	-66.09,	-0.02440217,	-6445412.00,	1310.73,	1320.07,	1316.88,	1326.76,	60.90,	1322.97,	1319.54,	-1,	-1,	1
1295.00,	1314.70,	1290.00,	1296.95,	79246.00,	33.49,	-66.51,	-0.02297638,	-6524658.00,	1304.16,	1315.26,	1308.33,	1321.34,	67.14,	1319.38,	1320.09,	-1,	-1,	1
1300.00,	1310.70,	1285.00,	1295.95,	112482.00,	32.44,	-67.56,	-0.00230956,	-6637140.00,	1297.86,	1311.95,	1298.47,	1318.23,	69.74,	1316.49,	1321.46,	-1,	1,	-1
1292.00,	1310.00,	1282.30,	1301.25,	181093.00,	38.03,	-61.97,	0.00088455,	-6456047.00,	1298.32,	1309.48,	1298.26,	1315.23,	72.32,	1315.22,	1324.29,	1,	-1,	1
1296.10,	1299.00,	1255.35,	1280.20,	224634.00,	23.75,	-76.25,	-0.01321925,	-6680681.00,	1294.34,	1305.80,	1296.34,	1313.19,	74.27,	1310.60,	1321.24,	-1,	1,	-1
1270.15,	1285.00,	1250.00,	1256.35,	143825.00,	5.77,	-94.23,	-0.03130421,	-6824506.00,	1286.14,	1298.43,	1292.60,	1307.46,	78.10,	1303.26,	1315.65,	-1,	-1,	-1
1252.00,	1264.50,	1228.30,	1256.65,	256536.00,	22.55,	-77.45,	-0.03032524,	-6567970.00,	1278.08,	1291.12,	1286.31,	1300.43,	76.94,	1294.81,	1311.51,	1,	-1,	1
1255.20,	1286.00,	1255.10,	1271.60,	156071.00,	40.06,	-59.94,	-0.02278578,	-6411899.00,	1273.21,	1285.54,	1278.73,	1292.81,	73.51,	1291.14,	1307.98,	1,	1,	1
1280.00,	1280.00,	1255.00,	1260.10,	48595.00,	29.42,	-70.58,	-0.01570067,	-6460494.00,	1264.98,	1281.65,	1266.64,	1289.66,	73.31,	1287.55,	1305.03,	-1,	1,	-1
1260.10,	1260.10,	1183.90,	1256.40,	201980.00,	47.54,	-52.46,	0.00003980,	-6662474.00,	1260.22,	1277.28,	1259.98,	1285.52,	75.10,	1283.50,	1299.90,	-1,	-1,	-1
1260.00,	1288.00,	1255.00,	1279.95,	215828.00,	63.63,	-36.37,	0.01854136,	-6446646.00,	1264.94,	1275.54,	1262.85,	1281.55,	75.27,	1279.79,	1294.36,	1,	-1,	1
1273.00,	1274.50,	1254.75,	1255.85,	71910.00,	47.66,	-52.34,	-0.01238597,	-6518556.00,	1264.78,	1271.43,	1265.56,	1276.91,	76.23,	1274.47,	1287.75,	-1,	1,	-1
1254.75,	1318.35,	1231.00,	1289.90,	402649.00,	73.05,	-26.95,	0.02364892,	-6115907.00,	1268.44,	1270.83,	1264.50,	1272.34,	79.84,	1268.34,	1285.24,	1,	-1,	1
1282.00,	1297.40,	1256.00,	1265.15,	134373.00,	60.43,	-39.57,	0.00696434,	-6250280.00,	1269.45,	1267.21,	1267.62,	1266.15,	80.43,	1263.89,	1282.26,	-1,	1,	-1
1265.15,	1274.00,	1257.00,	1264.05,	54610.00,	59.61,	-40.39,	-0.01242236,	-6304890.00,	1270.98,	1265.60,	1272.48,	1263.50,	81.57,	1264.54,	1279.18,	-1,	-1,	-1
1264.05,	1282.00,	1258.00,	1269.60,	41158.00,	63.74,	-36.26,	0.01094876,	-6263732.00,	1268.91,	1266.92,	1268.80,	1265.42,	78.33,	1266.85,	1275.94,	1,	-1,	1
1274.50,	1297.70,	1268.05,	1289.95,	174673.00,	78.88,	-21.12,	0.00003876,	-6089059.00,	1275.73,	1270.25,	1275.43,	1267.90,	73.52,	1267.41,	1272.90,	1,	1,	1
1241.00,	1309.00,	1241.00,	1299.60,	142149.00,	86.05,	-13.95,	0.02722997,	-5946910.00,	1277.67,	1273.05,	1271.35,	1268.16,	66.45,	1270.03,	1268.94,	1,	-1,	1
