open,high,low,clos,volm,sto,will,prate,bvol,sma1,sma2,wma1,wma2,std,ema1,ema2,ycc,yoo,yoc
322.25,	329.35,	321.13,	326.80,	4469500.00,	98.31,	-1.69,	0.04209184,	91599250.00,	257.09,	273.86,	320.03,	297.56,	30.31,	299.33,	289.19,	1,	-1,	1
324.45,	338.70,	324.05,	325.60,	7949250.00,	93.15,	-6.85,	0.01259524,	83650000.00,	259.73,	278.04,	324.13,	302.34,	40.69,	304.34,	292.50,	-1,	1,	1
326.52,	327.70,	315.00,	316.27,	6560250.00,	64.07,	-35.93,	-0.02850561,	77089750.00,	260.54,	281.92,	325.60,	307.45,	50.08,	310.21,	295.66,	-1,	1,	-1
317.50,	323.45,	316.65,	321.75,	5256250.00,	71.30,	-28.70,	-0.00929889,	82346000.00,	258.69,	284.83,	324.31,	312.88,	61.23,	315.22,	298.92,	1,	-1,	1
323.02,	327.13,	318.50,	321.02,	5112250.00,	69.75,	-30.25,	-0.01768666,	77233750.00,	258.08,	287.52,	323.48,	317.48,	74.41,	320.22,	302.31,	-1,	1,	-1
323.95,	325.00,	320.85,	322.67,	2340500.00,	72.57,	-27.43,	-0.00899877,	79574250.00,	256.93,	289.69,	321.45,	321.65,	75.74,	322.92,	305.89,	1,	1,	-1
322.95,	327.45,	321.50,	324.85,	3369000.00,	75.47,	-24.53,	0.02712872,	82943250.00,	256.34,	290.60,	319.77,	323.36,	78.99,	323.76,	309.73,	1,	-1,	1
324.00,	326.10,	319.08,	320.55,	3651500.00,	66.37,	-33.63,	-0.00372960,	79291750.00,	258.06,	290.93,	322.18,	323.71,	80.56,	323.56,	314.09,	-1,	1,	-1
320.50,	326.38,	320.50,	325.63,	3078250.00,	74.35,	-25.65,	0.01436048,	82370000.00,	257.82,	290.43,	322.25,	323.14,	77.91,	323.02,	317.79,	1,	-1,	1
324.50,	324.50,	307.27,	309.42,	6611000.00,	38.10,	-61.90,	-0.04106363,	75759000.00,	258.74,	290.51,	323.26,	322.83,	80.12,	322.23,	321.34,	-1,	1,	-1
313.63,	316.00,	309.10,	312.77,	4858750.00,	23.06,	-76.94,	-0.03718639,	80617750.00,	256.09,	288.78,	321.58,	321.51,	80.71,	320.55,	322.66,	1,	-1,	-1
314.50,	318.95,	313.13,	318.17,	3536750.00,	34.68,	-65.32,	-0.00742474,	84154500.00,	253.67,	287.49,	318.50,	320.25,	88.63,	320.77,	322.75,	1,	1,	1
319.00,	323.35,	316.00,	320.77,	4711500.00,	42.95,	-57.05,	-0.01492491,	88866000.00,	253.20,	287.68,	317.18,	320.85,	85.11,	320.69,	322.23,	1,	1,	1
321.60,	321.75,	316.52,	317.30,	2257250.00,	31.91,	-68.09,	0.02546700,	86608750.00,	252.23,	287.59,	313.87,	320.46,	80.18,	320.56,	321.73,	-1,	1,	-1
316.00,	323.40,	311.63,	320.48,	6164750.00,	42.03,	-57.97,	0.02465070,	92773500.00,	253.80,	287.21,	316.67,	320.08,	73.46,	319.90,	320.77,	1,	-1,	1
322.40,	336.45,	322.20,	334.48,	8506250.00,	86.57,	-13.43,	0.05126190,	101279750.00,	255.34,	286.99,	319.06,	319.40,	58.44,	318.69,	319.90,	1,	1,	1
337.50,	338.20,	331.10,	333.50,	5368000.00,	89.89,	-10.11,	0.03968576,	95911750.00,	258.61,	287.96,	321.68,	318.77,	52.79,	318.77,	320.73,	-1,	1,	-1
334.50,	337.50,	332.63,	334.38,	3356250.00,	87.65,	-12.35,	0.05382918,	99268000.00,	261.15,	289.25,	324.20,	319.15,	48.98,	317.96,	321.07,	1,	-1,	-1
335.52,	342.38,	335.02,	340.65,	6014500.00,	107.92,	7.92,	0.06293684,	105282500.00,	264.57,	290.13,	329.26,	318.76,	45.09,	320.23,	321.46,	1,	1,	1
341.95,	344.30,	335.63,	340.00,	6123250.00,	93.22,	-6.78,	0.01650323,	99159250.00,	268.60,	293.25,	335.06,	322.08,	41.66,	323.57,	321.87,	-1,	1,	-1
340.00,	347.38,	339.65,	346.58,	5372500.00,	106.16,	6.16,	0.03922039,	104531750.00,	269.71,	295.97,	336.21,	325.26,	38.10,	326.24,	321.95,	1,	-1,	1
347.20,	349.25,	343.80,	345.58,	4365000.00,	95.51,	-4.49,	0.03349483,	100166750.00,	272.32,	298.81,	339.12,	328.10,	35.22,	328.98,	322.82,	-1,	1,	-1
345.45,	348.00,	341.65,	347.00,	4281000.00,	94.64,	-5.36,	0.01864083,	104447750.00,	274.56,	301.29,	342.44,	330.89,	31.56,	332.88,	323.14,	1,	-1,	1
347.45,	353.50,	346.08,	351.05,	5711000.00,	104.29,	4.29,	0.03250000,	110158750.00,	275.83,	304.26,	344.08,	334.90,	28.79,	337.23,	325.83,	1,	1,	1
353.58,	358.45,	351.80,	357.55,	4164750.00,	109.12,	9.12,	0.03165214,	114323500.00,	278.04,	307.32,	347.02,	338.97,	23.30,	339.55,	328.93,	1,	1,	1
358.92,	376.83,	358.75,	374.88,	9476000.00,	135.09,	35.09,	0.08478500,	123799500.00,	280.24,	309.63,	348.87,	340.99,	11.26,	342.11,	331.77,	1,	1,	1
377.00,	383.85,	360.20,	361.85,	19402000.00,	77.02,	-22.98,	0.04279539,	104397500.00,	286.10,	313.77,	354.40,	344.27,	6.33,	346.04,	335.03,	-1,	1,	-1
366.83,	375.00,	363.50,	369.15,	10544750.00,	79.65,	-20.35,	0.05155961,	114942250.00,	289.07,	316.51,	359.56,	347.67,	4.01,	348.73,	338.81,	1,	-1,	1
367.52,	370.95,	365.05,	366.20,	5214250.00,	75.56,	-24.44,	0.02419242,	109728000.00,	292.69,	319.36,	365.08,	350.56,	10.76,	352.18,	342.96,	-1,	1,	-1
368.50,	370.60,	356.95,	359.17,	7513500.00,	59.97,	-40.03,	-0.04190674,	102214500.00,	294.42,	321.98,	368.69,	354.01,	21.62,	354.85,	345.46,	-1,	1,	-1
359.98,	366.00,	354.20,	356.83,	7412250.00,	48.78,	-51.22,	-0.01387315,	94802250.00,	291.27,	323.24,	364.49,	356.34,	30.72,	357.58,	347.91,	-1,	-1,	-1
358.50,	364.98,	357.77,	363.67,	6031000.00,	60.60,	-39.40,	-0.01484491,	100833250.00,	290.27,	324.37,	364.41,	359.02,	42.56,	360.54,	350.54,	1,	-1,	1
365.05,	368.20,	359.83,	362.42,	5815750.00,	56.11,	-43.89,	-0.01032223,	95017500.00,	289.17,	326.03,	361.82,	361.87,	52.32,	363.55,	352.79,	-1,	1,	-1
363.00,	364.80,	355.20,	356.27,	4929000.00,	42.80,	-57.20,	-0.00807417,	90088500.00,	288.42,	327.17,	359.93,	364.16,	64.27,	365.53,	355.27,	-1,	-1,	-1
357.88,	358.00,	352.05,	353.35,	3319500.00,	31.00,	-69.00,	-0.00975254,	86769000.00,	287.84,	327.04,	359.90,	365.11,	70.92,	363.48,	356.96,	-1,	-1,	-1
352.00,	362.35,	350.52,	361.15,	6103250.00,	46.21,	-53.79,	-0.00692936,	92872250.00,	287.14,	324.89,	360.25,	362.39,	73.38,	362.63,	358.80,	1,	-1,	1
362.85,	366.35,	355.83,	357.60,	7856000.00,	37.80,	-62.20,	-0.01329949,	85016250.00,	286.64,	324.82,	358.54,	362.22,	76.54,	361.18,	360.94,	-1,	1,	-1
358.30,	362.75,	356.17,	357.02,	5959750.00,	28.96,	-71.04,	0.00210514,	79056500.00,	285.67,	323.67,	356.67,	360.42,	75.77,	359.43,	362.64,	-1,	-1,	-1
