276.00,279.95,267.30,269.92,10658500.00,0.00,0.00,-1.00
268.00,271.85,266.77,271.10,3971000.00,1.00,-1.00,1.00
270.80,270.80,260.92,262.13,3085000.00,-1.00,1.00,-1.00
263.85,265.70,259.65,264.95,2729250.00,1.00,-1.00,1.00
265.00,268.67,264.00,267.27,2983500.00,1.00,1.00,1.00
267.45,269.77,266.65,268.48,1877500.00,1.00,1.00,1.00
269.88,270.75,267.13,268.02,2062250.00,-1.00,1.00,-1.00
268.05,272.92,268.00,271.90,4097750.00,1.00,-1.00,1.00
272.00,274.80,270.27,273.98,2948000.00,1.00,1.00,1.00
274.90,275.00,268.88,269.38,2332000.00,-1.00,1.00,-1.00
268.00,271.00,267.77,269.08,2576750.00,-1.00,-1.00,1.00
269.50,271.50,268.80,270.35,2427500.00,1.00,1.00,1.00
269.25,269.95,267.90,269.13,1380250.00,-1.00,-1.00,-1.00
270.25,272.38,269.75,271.52,2167250.00,1.00,1.00,1.00
272.00,272.40,263.27,263.98,3448000.00,-1.00,1.00,-1.00
264.02,266.75,263.02,265.67,3357500.00,1.00,-1.00,1.00
267.25,268.25,261.58,262.35,3606500.00,-1.00,1.00,-1.00
261.50,263.65,257.88,261.02,4806750.00,-1.00,-1.00,-1.00
262.42,266.27,262.08,265.77,3987750.00,1.00,1.00,1.00
267.25,267.67,263.55,265.92,3635250.00,1.00,1.00,-1.00
265.05,267.25,263.30,265.63,3508000.00,-1.00,-1.00,1.00
265.00,267.13,263.52,265.67,5589750.00,1.00,-1.00,1.00
266.52,272.00,266.27,268.02,4817000.00,1.00,1.00,1.00
268.00,269.38,264.65,265.30,2335250.00,-1.00,1.00,-1.00
266.00,271.15,264.08,269.83,5315500.00,1.00,-1.00,1.00
270.50,273.83,269.52,272.13,4396000.00,1.00,1.00,1.00
272.48,272.95,265.63,266.38,3809250.00,-1.00,1.00,-1.00
267.50,279.23,267.10,278.23,9030750.00,1.00,-1.00,1.00
278.95,282.70,276.80,278.90,4535750.00,1.00,1.00,-1.00
279.80,283.70,276.25,277.67,4806250.00,-1.00,1.00,-1.00
278.00,279.00,274.58,276.38,3752500.00,-1.00,-1.00,-1.00
278.05,281.20,276.27,280.50,6064250.00,1.00,1.00,1.00
281.35,282.73,279.65,280.35,3736500.00,-1.00,1.00,-1.00
281.48,284.88,280.63,283.77,6040500.00,1.00,1.00,1.00
284.05,285.65,280.25,284.95,3946250.00,1.00,1.00,1.00
285.63,287.38,282.25,286.85,4259500.00,1.00,1.00,1.00
287.00,288.35,284.73,287.17,3318500.00,1.00,1.00,1.00
289.00,297.40,287.75,294.85,8063000.00,1.00,1.00,1.00
295.73,300.50,291.40,299.27,8285250.00,1.00,1.00,1.00
309.00,322.20,305.00,313.60,12258750.00,1.00,1.00,1.00
312.50,322.60,310.02,321.55,8471250.00,1.00,1.00,1.00
321.00,327.70,319.88,325.55,7465250.00,1.00,1.00,1.00
326.00,326.50,322.77,324.77,3664500.00,-1.00,1.00,-1.00
322.25,329.35,321.13,326.80,4469500.00,1.00,-1.00,1.00
324.45,338.70,324.05,325.60,7949250.00,-1.00,1.00,1.00
326.52,327.70,315.00,316.27,6560250.00,-1.00,1.00,-1.00
317.50,323.45,316.65,321.75,5256250.00,1.00,-1.00,1.00
323.02,327.13,318.50,321.02,5112250.00,-1.00,1.00,-1.00
323.95,325.00,320.85,322.67,2340500.00,1.00,1.00,-1.00
322.95,327.45,321.50,324.85,3369000.00,1.00,-1.00,1.00
