1280.00,1280.00,1255.00,1260.10,48595.00,-1.00,1.00,-1.00
1260.10,1260.10,1183.90,1256.40,201980.00,-1.00,-1.00,-1.00
1260.00,1288.00,1255.00,1279.95,215828.00,1.00,-1.00,1.00
1273.00,1274.50,1254.75,1255.85,71910.00,-1.00,1.00,-1.00
1254.75,1318.35,1231.00,1289.90,402649.00,1.00,-1.00,1.00
1282.00,1297.40,1256.00,1265.15,134373.00,-1.00,1.00,-1.00
1265.15,1274.00,1257.00,1264.05,54610.00,-1.00,-1.00,-1.00
1264.05,1282.00,1258.00,1269.60,41158.00,1.00,-1.00,1.00
1274.50,1297.70,1268.05,1289.95,174673.00,1.00,1.00,1.00
1241.00,1309.00,1241.00,1299.60,142149.00,1.00,-1.00,1.00
1304.90,1304.90,1270.15,1282.50,99367.00,-1.00,1.00,-1.00
1282.50,1292.00,1210.10,1277.15,89167.00,-1.00,-1.00,-1.00
1280.00,1300.00,1276.25,1295.30,43069.00,1.00,-1.00,1.00
1290.00,1294.90,1276.00,1282.20,74722.00,-1.00,1.00,-1.00
1280.00,1287.00,1270.00,1276.55,22931.00,-1.00,-1.00,-1.00
1276.00,1285.00,1268.00,1281.10,23867.00,1.00,-1.00,1.00
1282.00,1299.90,1282.00,1294.90,55508.00,1.00,1.00,1.00
1282.00,1315.00,1275.80,1300.70,50951.00,1.00,0.00,1.00
1302.00,1308.00,1285.00,1294.45,38605.00,-1.00,1.00,-1.00
1295.00,1334.70,1295.00,1318.45,170906.00,1.00,-1.00,1.00
1301.15,1342.00,1274.80,1309.35,120945.00,-1.00,1.00,1.00
1310.00,1325.60,1300.00,1320.95,50600.00,1.00,1.00,1.00
1310.50,1318.90,1290.00,1299.10,42736.00,-1.00,1.00,-1.00
1265.00,1308.70,1265.00,1281.15,29987.00,-1.00,-1.00,1.00
1308.70,1315.00,1275.05,1278.20,8287.00,-1.00,1.00,-1.00
1280.00,1293.00,1266.05,1281.55,124349.00,1.00,-1.00,1.00
1270.00,1275.00,1263.55,1266.55,22335.00,-1.00,-1.00,-1.00
1269.00,1269.00,1242.00,1246.40,92893.00,-1.00,-1.00,-1.00
1255.00,1258.50,1230.00,1235.85,70518.00,-1.00,-1.00,-1.00
1248.00,1257.00,1223.20,1229.85,236038.00,-1.00,-1.00,-1.00
1247.00,1247.00,1219.00,1221.75,54904.00,-1.00,-1.00,-1.00
1229.00,1242.00,1201.35,1204.00,85145.00,-1.00,-1.00,-1.00
1205.00,1225.00,1166.15,1183.35,184797.00,-1.00,-1.00,-1.00
1190.00,1199.95,1155.05,1160.20,221819.00,-1.00,-1.00,-1.00
1178.00,1200.20,1156.25,1185.45,120782.00,1.00,-1.00,1.00
1197.00,1206.00,1163.05,1167.35,76897.00,-1.00,1.00,-1.00
1167.35,1184.90,1147.05,1150.45,146286.00,-1.00,-1.00,-1.00
1150.00,1192.00,1150.00,1171.50,291741.00,1.00,-1.00,1.00
1180.00,1190.00,1160.00,1171.80,126892.00,1.00,1.00,-1.00
1180.00,1180.00,1170.05,1173.05,60928.00,1.00,0.00,-1.00
1175.00,1180.00,1171.25,1175.75,40345.00,1.00,-1.00,1.00
1171.25,1174.00,1155.00,1159.35,45171.00,-1.00,-1.00,-1.00
1165.00,1170.00,1150.00,1153.65,92471.00,-1.00,-1.00,-1.00
1159.90,1159.90,1130.10,1136.55,131853.00,-1.00,-1.00,-1.00
1149.95,1154.00,1135.00,1138.00,79698.00,1.00,-1.00,-1.00
1149.90,1149.90,1105.95,1117.15,115303.00,-1.00,-1.00,-1.00
1137.00,1137.00,1120.00,1130.95,56944.00,1.00,-1.00,-1.00
1130.00,1143.90,1122.00,1136.15,73314.00,1.00,-1.00,1.00
1137.00,1147.00,1123.00,1129.70,67049.00,-1.00,1.00,-1.00
1140.00,1142.00,1130.00,1133.90,42825.00,1.00,1.00,-1.00
1140.00,1140.00,1113.00,1117.55,57727.00,-1.00,0.00,-1.00
1125.00,1130.00,1120.00,1126.90,30331.00,1.00,-1.00,1.00
1126.90,1130.00,1113.50,1116.00,47338.00,-1.00,1.00,-1.00
1115.40,1128.00,1106.00,1110.20,50464.00,-1.00,-1.00,-1.00
1110.50,1125.00,1110.00,1111.90,25030.00,1.00,-1.00,1.00
1125.00,1145.75,1115.05,1131.00,50289.00,1.00,1.00,1.00
1128.00,1162.45,1126.20,1156.80,598424.00,1.00,1.00,1.00
1165.00,1175.80,1142.15,1149.60,84733.00,-1.00,1.00,-1.00
1150.00,1155.00,1118.25,1123.05,307009.00,-1.00,-1.00,-1.00
1130.00,1137.00,1123.50,1134.65,63419.00,1.00,-1.00,1.00
1123.50,1132.05,1108.50,1111.65,184536.00,-1.00,-1.00,-1.00
1120.00,1125.00,1080.00,1101.60,100871.00,-1.00,-1.00,-1.00
1102.00,1102.00,1055.00,1059.75,261728.00,-1.00,-1.00,-1.00
1070.00,1078.00,1056.00,1059.95,112136.00,1.00,-1.00,-1.00
1077.00,1127.00,1062.00,1115.65,90134.00,1.00,1.00,1.00
1108.00,1155.00,1107.00,1137.30,131252.00,1.00,1.00,1.00
1140.00,1150.00,1112.05,1136.90,88645.00,-1.00,1.00,-1.00
1148.05,1148.05,1115.00,1122.85,170650.00,-1.00,1.00,-1.00
1120.00,1130.00,1115.00,1116.55,469171.00,-1.00,-1.00,-1.00
1125.00,1128.90,1114.90,1115.90,65764.00,-1.00,1.00,-1.00
1134.00,1154.95,1117.00,1149.40,209243.00,1.00,1.00,1.00
1147.00,1162.00,1131.55,1144.55,209624.00,-1.00,1.00,-1.00
1126.00,1173.00,1122.00,1166.00,362247.00,1.00,-1.00,1.00
1166.00,1250.00,1165.00,1235.15,665154.00,1.00,1.00,1.00
1240.00,1247.90,1195.80,1201.50,145309.00,-1.00,1.00,-1.00
1195.80,1249.00,1160.00,1226.50,190026.00,1.00,-1.00,1.00
1228.00,1231.00,1188.00,1199.55,146097.00,-1.00,1.00,-1.00
1205.00,1208.80,1165.00,1173.05,155141.00,-1.00,-1.00,-1.00
1190.00,1194.95,1155.55,1176.95,106650.00,1.00,-1.00,-1.00
1189.00,1192.00,1135.00,1155.05,87172.00,-1.00,-1.00,-1.00
1135.00,1139.00,1114.10,1121.05,71571.00,-1.00,-1.00,-1.00
1134.85,1138.80,1077.00,1092.35,95492.00,-1.00,-1.00,-1.00
1120.00,1120.00,1068.00,1076.85,87884.00,-1.00,-1.00,-1.00
1098.00,1098.00,1035.20,1042.15,67875.00,-1.00,-1.00,-1.00
1043.00,1059.00,1036.00,1049.80,112884.00,1.00,-1.00,1.00
1042.25,1060.00,1028.00,1032.70,67162.00,-1.00,-1.00,-1.00
1040.00,1047.00,985.10,999.15,252580.00,-1.00,-1.00,-1.00
992.00,997.00,970.55,989.00,82155.00,-1.00,-1.00,-1.00
