73.00,133.00,133.00,130.20,130.83,218500.00,-1.00,-1.00,-1.00
74.00,131.60,131.88,130.16,130.60,176250.00,-1.00,-1.00,-1.00
75.00,133.00,134.00,131.20,132.28,218250.00,1.00,1.00,-1.00
76.00,133.00,133.80,131.44,132.39,465750.00,1.00,0.00,-1.00
77.00,132.84,133.60,131.22,131.73,234000.00,-1.00,-1.00,-1.00
78.00,132.00,132.50,129.07,129.53,168000.00,-1.00,-1.00,-1.00
79.00,129.20,132.80,129.00,131.14,300250.00,1.00,-1.00,1.00
80.00,131.00,131.80,130.50,131.24,165250.00,1.00,1.00,1.00
81.00,131.00,131.20,129.62,130.85,144750.00,-1.00,0.00,-1.00
82.00,131.36,131.70,129.60,130.86,290000.00,1.00,1.00,-1.00
83.00,131.13,131.42,129.36,129.70,256750.00,-1.00,-1.00,-1.00
84.00,128.80,131.20,125.97,130.41,410000.00,1.00,-1.00,1.00
85.00,130.20,130.20,127.42,129.14,260000.00,-1.00,1.00,-1.00
86.00,131.00,131.37,125.40,126.42,406500.00,-1.00,1.00,-1.00
87.00,126.80,128.28,125.10,126.96,285750.00,1.00,-1.00,1.00
88.00,127.60,128.78,126.80,128.51,177250.00,1.00,1.00,1.00
89.00,128.40,128.40,126.12,127.25,177250.00,-1.00,1.00,-1.00
90.00,127.40,128.00,125.82,126.28,161500.00,-1.00,-1.00,-1.00
91.00,126.30,127.60,125.60,126.86,194500.00,1.00,-1.00,1.00
92.00,127.60,127.78,126.40,127.10,112250.00,1.00,1.00,-1.00
93.00,127.00,127.56,126.47,127.41,99250.00,1.00,-1.00,1.00
94.00,127.70,130.60,127.21,130.28,277250.00,1.00,1.00,1.00
95.00,130.99,134.78,130.00,134.17,464000.00,1.00,1.00,1.00
96.00,134.00,134.80,132.11,134.48,228250.00,1.00,1.00,1.00
97.00,134.78,136.92,132.96,136.45,341000.00,1.00,1.00,1.00
98.00,136.40,137.20,135.23,136.49,322750.00,1.00,1.00,1.00
99.00,136.78,137.80,136.29,137.53,175250.00,1.00,1.00,1.00
100.00,137.82,138.60,136.40,137.38,171250.00,-1.00,1.00,-1.00
101.00,138.50,142.19,138.50,141.24,306250.00,1.00,1.00,1.00
102.00,141.40,146.90,140.26,145.01,472500.00,1.00,1.00,1.00
103.00,145.40,146.40,143.08,144.33,332750.00,-1.00,1.00,-1.00
104.00,143.20,143.78,137.20,138.53,451500.00,-1.00,-1.00,-1.00
105.00,136.90,137.60,132.48,134.41,276500.00,-1.00,-1.00,-1.00
106.00,134.80,136.69,134.80,136.18,276000.00,1.00,-1.00,1.00
107.00,136.60,139.57,135.60,136.80,210250.00,1.00,1.00,1.00
108.00,137.18,141.60,137.18,139.70,304750.00,1.00,1.00,1.00
109.00,139.98,141.60,136.22,139.49,530250.00,-1.00,1.00,-1.00
110.00,138.10,138.80,136.41,136.98,195500.00,-1.00,-1.00,-1.00
111.00,138.20,138.20,135.00,135.75,233750.00,-1.00,1.00,-1.00
112.00,137.80,141.80,137.25,141.06,491750.00,1.00,-1.00,1.00
113.00,141.20,141.98,139.02,140.15,258000.00,-1.00,1.00,-1.00
114.00,136.09,138.58,134.20,135.70,354250.00,-1.00,-1.00,-1.00
115.00,135.60,136.38,133.00,135.58,281750.00,-1.00,-1.00,-1.00
116.00,136.31,138.40,135.65,136.81,124750.00,1.00,1.00,1.00
117.00,136.60,138.40,134.06,137.64,179000.00,1.00,1.00,1.00
118.00,137.60,137.60,134.51,135.14,321250.00,-1.00,1.00,-1.00
119.00,132.20,132.80,130.71,131.34,222250.00,-1.00,-1.00,-1.00
120.00,131.49,131.49,127.27,131.04,373000.00,-1.00,-1.00,-1.00
121.00,132.00,133.40,130.03,130.66,180750.00,-1.00,1.00,-1.00
122.00,128.06,130.57,126.20,128.81,284750.00,-1.00,-1.00,1.00
123.00,129.60,130.40,127.60,128.81,177500.00,0.00,1.00,-1.00
124.00,129.30,130.76,128.22,130.23,238750.00,1.00,-1.00,1.00
125.00,129.20,130.20,126.00,127.33,148000.00,-1.00,-1.00,-1.00
126.00,126.60,129.00,124.65,126.37,441500.00,-1.00,-1.00,-1.00
127.00,126.58,127.54,125.70,126.42,422000.00,1.00,-1.00,-1.00
128.00,126.20,126.80,124.61,124.96,464750.00,-1.00,-1.00,-1.00
129.00,124.33,124.33,119.20,120.40,210750.00,-1.00,-1.00,-1.00
130.00,122.00,124.10,120.85,121.41,184000.00,1.00,-1.00,-1.00
131.00,124.09,125.20,124.00,124.59,92250.00,1.00,1.00,1.00
132.00,125.00,125.33,123.25,124.46,197250.00,-1.00,1.00,-1.00
133.00,124.40,126.60,123.20,124.92,229750.00,1.00,-1.00,1.00
134.00,126.00,127.60,125.70,127.22,295250.00,1.00,1.00,1.00
135.00,128.00,129.58,125.00,126.62,533250.00,-1.00,1.00,-1.00
136.00,126.80,126.90,124.70,125.91,258500.00,-1.00,-1.00,-1.00
137.00,126.40,128.60,126.00,127.82,514750.00,1.00,-1.00,1.00
138.00,129.00,135.40,128.62,134.65,689000.00,1.00,1.00,1.00
139.00,135.00,139.68,134.11,138.14,411750.00,1.00,1.00,1.00
140.00,139.00,140.80,138.42,140.35,325250.00,1.00,1.00,1.00
141.00,141.50,142.00,139.62,140.36,242500.00,1.00,1.00,-1.00
142.00,139.80,139.80,135.51,135.91,315750.00,-1.00,-1.00,-1.00
143.00,134.20,138.80,134.20,135.84,288500.00,-1.00,-1.00,1.00
144.00,135.80,138.73,135.80,138.24,381250.00,1.00,1.00,1.00
145.00,139.60,140.01,137.04,138.17,246000.00,-1.00,1.00,-1.00
146.00,139.40,140.60,138.46,140.35,174000.00,1.00,-1.00,1.00
147.00,140.94,140.94,138.80,139.27,78750.00,-1.00,1.00,-1.00
148.00,139.20,141.60,139.00,139.94,184000.00,1.00,-1.00,1.00
149.00,138.80,138.80,137.06,137.30,173750.00,-1.00,-1.00,-1.00
150.00,136.40,141.35,136.40,137.30,436000.00,0.00,-1.00,1.00
151.00,138.00,140.20,135.60,139.52,212750.00,1.00,1.00,1.00
152.00,141.94,149.80,139.90,140.45,314250.00,1.00,1.00,-1.00
153.00,140.96,140.96,137.04,137.56,165250.00,-1.00,-1.00,-1.00
154.00,137.50,138.80,135.40,136.21,187000.00,-1.00,-1.00,-1.00
155.00,135.60,139.18,135.30,138.54,214500.00,1.00,-1.00,1.00
156.00,138.20,139.00,136.41,137.95,228750.00,-1.00,1.00,-1.00
157.00,137.99,139.00,137.80,138.61,153750.00,1.00,-1.00,1.00
158.00,139.88,141.40,137.99,138.43,188500.00,-1.00,1.00,-1.00
159.00,139.00,140.74,137.40,139.63,408500.00,1.00,-1.00,1.00
160.00,140.20,144.98,139.77,144.21,765000.00,1.00,1.00,1.00
161.00,145.16,146.40,140.25,141.45,358500.00,-1.00,1.00,-1.00
162.00,141.79,142.80,138.42,141.42,482750.00,-1.00,-1.00,-1.00
163.00,141.78,143.39,139.63,142.89,412250.00,1.00,-1.00,1.00
164.00,143.37,147.10,142.60,146.42,640750.00,1.00,1.00,1.00
165.00,147.20,148.20,144.60,145.59,416000.00,-1.00,1.00,-1.00
166.00,146.47,148.38,145.22,147.68,385250.00,1.00,-1.00,1.00
167.00,147.80,148.60,142.85,143.74,210000.00,-1.00,1.00,-1.00
