open,high,low,clos,volm,sto,will,prate,bvol,sma1,sma2,wma1,wma2,std,ema1,ema2,ycc,yoo,yoc
115.00,	117.20,	114.50,	116.43,	177500.00,	71.44,	-28.56,	-0.01904120,	875500.00,	94.37,	106.00,	118.32,	117.73,	67.32,	118.00,	116.39,	1,	-1,	1
115.94,	119.25,	115.68,	118.19,	167250.00,	81.23,	-18.77,	-0.01170666,	1042750.00,	93.92,	106.06,	117.79,	118.07,	56.99,	118.06,	116.60,	1,	1,	1
118.02,	118.37,	116.30,	118.03,	212000.00,	67.46,	-32.54,	0.00391256,	830750.00,	93.64,	106.09,	116.97,	118.07,	48.19,	118.05,	116.77,	-1,	1,	1
118.00,	122.00,	118.00,	121.10,	391750.00,	110.34,	10.34,	0.04387553,	1222500.00,	93.73,	106.07,	116.89,	118.01,	46.31,	118.04,	117.12,	1,	-1,	1
122.00,	128.00,	122.00,	127.01,	355500.00,	156.93,	56.93,	0.09087005,	1578000.00,	94.75,	106.38,	117.94,	118.09,	43.59,	118.17,	117.70,	1,	1,	1
120.00,	123.30,	120.00,	122.56,	163750.00,	63.24,	-36.76,	0.03697436,	1414250.00,	96.87,	107.26,	120.03,	118.42,	42.98,	118.53,	118.33,	-1,	-1,	1
123.00,	126.74,	123.00,	125.97,	232250.00,	84.96,	-15.04,	0.06727103,	1646500.00,	97.74,	107.65,	121.48,	118.65,	44.28,	118.50,	118.58,	1,	1,	1
126.76,	127.08,	125.25,	125.98,	169000.00,	85.04,	-14.96,	0.04029727,	1815500.00,	99.33,	108.29,	123.80,	118.89,	57.05,	119.04,	118.87,	1,	1,	-1
126.00,	128.35,	125.22,	127.71,	198250.00,	97.85,	-2.15,	0.00551138,	2013750.00,	100.30,	109.13,	125.37,	119.66,	63.76,	120.15,	119.23,	1,	-1,	1
128.00,	130.80,	126.40,	127.57,	380750.00,	94.37,	-5.63,	0.04087794,	1633000.00,	100.44,	110.30,	125.00,	120.96,	77.99,	121.60,	119.66,	-1,	1,	-1
128.80,	129.38,	127.61,	129.10,	129750.00,	89.57,	-10.43,	0.02484719,	1762750.00,	101.45,	111.41,	126.57,	122.40,	78.61,	122.96,	120.08,	1,	1,	1
130.00,	132.39,	130.00,	132.02,	167750.00,	107.48,	7.48,	0.04794412,	1930500.00,	102.07,	112.50,	127.26,	123.73,	64.76,	124.63,	120.46,	1,	1,	1
132.00,	133.58,	129.40,	131.15,	174750.00,	93.07,	-6.93,	0.02693603,	1755750.00,	103.28,	113.90,	128.58,	125.41,	57.08,	126.18,	121.25,	-1,	1,	-1
131.00,	131.00,	126.70,	127.25,	220750.00,	66.82,	-33.18,	-0.00250843,	1535000.00,	103.97,	114.91,	129.47,	126.70,	44.23,	126.56,	122.42,	-1,	-1,	-1
128.00,	128.39,	125.00,	127.71,	425750.00,	69.23,	-30.77,	-0.01076685,	1960750.00,	103.90,	114.93,	130.11,	126.82,	42.66,	127.44,	123.61,	1,	-1,	-1
127.40,	127.60,	124.74,	125.67,	198500.00,	55.81,	-44.19,	-0.04809877,	1762250.00,	103.63,	115.45,	130.13,	127.86,	40.01,	128.06,	124.71,	-1,	-1,	-1
125.60,	126.40,	123.85,	124.78,	240750.00,	49.07,	-50.93,	-0.04857034,	1521500.00,	102.36,	115.42,	128.52,	128.24,	37.38,	128.50,	125.89,	-1,	-1,	-1
125.20,	127.20,	125.20,	126.95,	152000.00,	57.45,	-42.55,	-0.00235756,	1673500.00,	101.08,	115.30,	126.69,	128.57,	34.67,	128.63,	126.76,	1,	-1,	1
129.89,	129.89,	127.02,	127.55,	115750.00,	55.60,	-44.40,	-0.00125284,	1789250.00,	101.02,	115.22,	126.39,	128.61,	33.84,	128.82,	126.86,	1,	1,	-1
128.60,	129.00,	126.80,	127.17,	338000.00,	52.80,	-47.20,	0.01193602,	1451250.00,	100.99,	115.22,	125.96,	128.68,	34.76,	128.76,	127.52,	-1,	-1,	-1
126.00,	129.56,	123.20,	128.88,	260250.00,	55.58,	-44.42,	0.03285783,	1711500.00,	101.29,	115.03,	126.34,	128.43,	33.67,	127.96,	127.86,	1,	-1,	1
129.08,	137.57,	129.08,	135.79,	566500.00,	121.29,	21.29,	0.06963371,	2278000.00,	102.11,	114.71,	127.44,	127.61,	27.44,	127.07,	128.21,	1,	1,	1
136.98,	137.40,	134.82,	136.01,	282000.00,	89.14,	-10.86,	0.06632693,	2560000.00,	103.88,	115.17,	128.90,	127.17,	21.33,	127.26,	128.57,	1,	1,	-1
136.80,	142.88,	134.48,	141.01,	376000.00,	123.94,	23.94,	0.10883070,	2936000.00,	105.57,	116.05,	130.77,	127.61,	15.32,	127.63,	128.96,	1,	-1,	1
135.58,	136.38,	133.41,	134.75,	226250.00,	58.69,	-41.31,	0.04554624,	2709750.00,	108.34,	117.38,	134.11,	128.31,	13.93,	128.76,	129.34,	-1,	-1,	-1
135.00,	135.36,	132.53,	133.44,	246250.00,	52.03,	-47.97,	-0.01730613,	2463500.00,	109.51,	118.29,	136.82,	129.44,	12.85,	130.12,	129.10,	-1,	-1,	-1
134.40,	136.30,	132.60,	133.19,	590000.00,	50.76,	-49.24,	-0.02073377,	1873500.00,	109.04,	119.16,	136.80,	130.87,	13.49,	131.29,	128.86,	-1,	-1,	-1
134.40,	135.54,	133.60,	134.94,	292250.00,	59.65,	-40.35,	-0.04304659,	2165750.00,	108.48,	119.78,	136.48,	132.01,	17.45,	132.46,	129.17,	1,	0,	1
