open,high,low,clos,volm,sto,will,prate,bvol,sma1,sma2,wma1,wma2,std,ema1,ema2,ycc,yoo,yoc
82.44,	84.20,	82.06,	83.62,	1918750.00,	75.17,	-24.83,	0.03374954,	18847500.00,	82.62,	83.21,	82.21,	83.41,	77.15,	83.53,	81.56,	1,	-1,	1
83.20,	84.10,	82.78,	83.14,	1900000.00,	68.33,	-31.67,	0.00434888,	16947500.00,	83.07,	83.20,	82.93,	83.41,	73.23,	83.18,	82.05,	-1,	1,	-1
83.63,	84.48,	82.72,	83.02,	3068750.00,	61.39,	-38.61,	0.00862593,	13878750.00,	83.12,	82.98,	83.05,	83.00,	68.09,	82.75,	82.27,	-1,	1,	-1
83.49,	83.79,	82.50,	82.96,	2278750.00,	60.56,	-39.44,	-0.00646707,	11600000.00,	83.25,	82.81,	83.36,	82.66,	64.99,	82.61,	82.68,	-1,	-1,	-1
83.18,	85.60,	83.01,	85.24,	3272500.00,	92.22,	-7.78,	0.01937336,	14872500.00,	83.60,	83.04,	83.39,	82.68,	63.89,	82.64,	83.31,	1,	-1,	1
83.60,	84.86,	83.20,	84.23,	1883750.00,	78.19,	-21.81,	0.01311042,	12988750.00,	83.72,	83.17,	83.42,	82.73,	69.05,	83.06,	83.44,	-1,	1,	1
84.60,	85.57,	84.10,	85.18,	1860000.00,	88.93,	-11.07,	0.02601783,	14848750.00,	84.13,	83.60,	83.75,	83.22,	74.10,	83.33,	83.24,	1,	1,	1
85.62,	86.40,	84.60,	84.95,	2832500.00,	76.61,	-23.39,	0.02398746,	12016250.00,	84.51,	83.82,	84.25,	83.41,	79.61,	83.63,	83.02,	-1,	1,	-1
85.55,	86.60,	85.42,	85.94,	2091250.00,	89.69,	-10.31,	0.00821211,	14107500.00,	85.11,	84.18,	84.97,	83.75,	85.58,	83.83,	83.07,	1,	-1,	1
85.82,	86.07,	81.68,	82.50,	2005000.00,	35.94,	-64.06,	-0.02053900,	12102500.00,	84.56,	84.08,	84.74,	83.85,	92.44,	83.84,	83.08,	-1,	1,	-1
83.00,	84.01,	82.90,	83.48,	1401250.00,	51.25,	-48.75,	-0.01995774,	13503750.00,	84.41,	84.06,	84.80,	83.93,	91.06,	83.98,	83.42,	1,	-1,	1
84.80,	88.75,	84.40,	87.86,	5181250.00,	88.94,	-11.06,	0.03425544,	18685000.00,	84.95,	84.54,	84.72,	84.19,	85.66,	84.39,	83.68,	1,	1,	1
88.02,	91.54,	87.69,	90.76,	5080000.00,	92.23,	-7.77,	0.05608564,	23765000.00,	86.11,	85.31,	85.11,	84.60,	81.52,	85.03,	84.08,	1,	1,	1
90.20,	91.40,	89.00,	89.61,	2547500.00,	80.72,	-19.28,	0.08618182,	21217500.00,	86.84,	85.97,	85.41,	85.15,	76.01,	85.30,	84.35,	-1,	1,	-1
85.40,	90.19,	85.40,	87.80,	1797500.00,	62.07,	-37.93,	0.05174892,	19420000.00,	87.90,	86.23,	87.21,	85.33,	66.84,	85.63,	84.56,	-1,	-1,	1
87.40,	88.20,	86.11,	87.77,	1701250.00,	61.76,	-38.24,	-0.00102436,	17718750.00,	88.76,	86.59,	88.97,	85.76,	59.13,	85.89,	84.87,	-1,	1,	1
88.40,	88.80,	87.86,	88.52,	1092500.00,	69.37,	-30.63,	-0.02468048,	18811250.00,	88.89,	86.92,	89.31,	86.08,	57.18,	86.23,	85.28,	1,	1,	1
88.40,	88.98,	87.46,	88.24,	1038750.00,	66.53,	-33.47,	-0.01528847,	17772500.00,	88.39,	87.25,	88.52,	86.49,	57.12,	86.45,	85.74,	-1,	0,	-1
88.84,	89.27,	87.97,	88.11,	1008750.00,	65.21,	-34.79,	0.00353075,	16763750.00,	88.09,	87.47,	88.02,	86.77,	58.56,	87.36,	85.94,	-1,	1,	-1
88.40,	88.58,	86.60,	87.26,	943750.00,	56.59,	-43.41,	-0.00581064,	15820000.00,	87.98,	87.94,	88.08,	87.76,	62.82,	88.44,	86.24,	-1,	-1,	-1
87.58,	90.58,	86.64,	90.31,	3553750.00,	87.53,	-12.47,	0.02022142,	19373750.00,	88.49,	88.62,	88.31,	88.70,	67.32,	88.92,	86.54,	1,	-1,	1
90.40,	97.78,	90.00,	96.92,	5956250.00,	94.66,	-5.34,	0.09836809,	25330000.00,	90.17,	89.53,	88.86,	89.00,	66.84,	88.93,	87.07,	1,	1,	1
97.00,	102.28,	95.62,	101.06,	7918750.00,	94.08,	-5.92,	0.14697537,	33248750.00,	92.73,	90.56,	90.36,	88.96,	62.65,	89.19,	87.64,	1,	1,	1
100.20,	106.00,	99.23,	104.80,	5267500.00,	95.07,	-4.93,	0.20100848,	38516250.00,	96.07,	92.08,	93.01,	89.41,	56.97,	90.10,	88.86,	1,	1,	1
103.16,	105.80,	102.01,	103.89,	5131250.00,	90.87,	-9.13,	0.15037094,	33385000.00,	99.40,	93.69,	97.06,	90.48,	50.29,	91.29,	90.17,	-1,	1,	1
103.60,	104.30,	100.70,	101.82,	4297500.00,	80.65,	-19.35,	0.05055716,	29087500.00,	101.70,	95.09,	100.86,	91.81,	46.62,	92.51,	90.96,	-1,	1,	-1
102.40,	102.92,	98.86,	99.33,	4701250.00,	67.62,	-32.38,	-0.01711854,	24386250.00,	102.18,	96.17,	102.61,	93.21,	45.82,	93.90,	91.27,	-1,	-1,	-1
99.78,	100.98,	99.61,	100.52,	3570000.00,	73.40,	-26.60,	-0.04083969,	27956250.00,	102.07,	97.40,	102.95,	94.87,	41.16,	95.70,	91.76,	1,	-1,	1
100.58,	101.85,	98.42,	99.31,	4722500.00,	67.52,	-32.48,	-0.04408509,	23233750.00,	100.97,	98.52,	101.67,	96.76,	34.24,	98.03,	92.58,	-1,	1,	-1
98.00,	99.78,	94.44,	95.06,	3772500.00,	45.00,	-55.00,	-0.06639167,	19461250.00,	99.21,	99.30,	100.11,	98.95,	32.24,	100.11,	93.45,	-1,	-1,	-1
95.78,	97.54,	93.25,	94.77,	6356250.00,	42.11,	-57.89,	-0.04590758,	13105000.00,	97.80,	99.75,	98.77,	100.67,	30.77,	101.10,	94.33,	-1,	-1,	-1
96.04,	98.17,	96.01,	97.83,	3950000.00,	57.89,	-42.11,	-0.02676084,	17055000.00,	97.50,	99.84,	98.16,	101.20,	30.14,	101.21,	95.44,	1,	1,	1
98.24,	101.80,	97.60,	100.78,	8243750.00,	73.09,	-26.91,	0.01480213,	25298750.00,	97.55,	99.81,	97.17,	100.97,	33.70,	100.46,	96.81,	1,	1,	1
101.20,	102.20,	100.44,	101.09,	6236250.00,	74.69,	-25.31,	0.06343362,	31535000.00,	97.91,	99.44,	96.70,	100.00,	41.83,	99.53,	98.51,	1,	1,	-1
100.80,	101.60,	99.02,	99.48,	2326250.00,	66.32,	-33.68,	0.04969927,	29208750.00,	98.79,	99.00,	97.94,	99.11,	49.64,	98.81,	99.99,	-1,	-1,	-1
91.20,	100.86,	91.00,	100.34,	3105000.00,	64.63,	-35.37,	0.02565675,	32313750.00,	99.90,	98.85,	99.66,	98.57,	61.20,	98.59,	100.67,	1,	-1,	1
100.40,	100.95,	98.51,	99.32,	3222500.00,	55.47,	-44.53,	-0.01448700,	29091250.00,	100.20,	98.85,	100.45,	98.48,	70.66,	98.18,	100.66,	-1,	1,	-1
99.40,	100.56,	98.64,	98.82,	2391250.00,	52.13,	-47.87,	-0.02245524,	26700000.00,	99.81,	98.68,	100.12,	98.15,	80.62,	97.84,	100.01,	-1,	-1,	-1
99.30,	99.60,	97.31,	97.85,	2111250.00,	46.28,	-53.72,	-0.01638520,	24588750.00,	99.16,	98.53,	99.48,	98.01,	89.09,	98.34,	99.28,	-1,	-1,	-1
98.00,	98.00,	94.67,	95.38,	4436250.00,	32.93,	-67.07,	-0.04943193,	20152500.00,	98.34,	98.57,	99.10,	98.64,	95.48,	99.14,	98.70,	-1,	-1,	-1
94.80,	97.79,	93.66,	96.52,	4751250.00,	46.31,	-53.69,	-0.02819170,	24903750.00,	97.58,	98.74,	98.18,	99.37,	94.93,	99.55,	98.48,	1,	-1,	1
96.00,	97.40,	95.12,	96.76,	4156250.00,	51.43,	-48.57,	-0.02084598,	29060000.00,	97.07,	98.63,	97.43,	99.51,	95.09,	99.27,	98.12,	1,	1,	1
94.94,	95.56,	93.70,	94.23,	2413750.00,	28.84,	-71.16,	-0.03699540,	26646250.00,	96.15,	97.98,	96.54,	99.00,	95.02,	98.60,	97.80,	-1,	-1,	-1
93.60,	93.60,	91.66,	92.31,	2300000.00,	11.70,	-88.30,	-0.03218704,	24346250.00,	95.04,	97.10,	95.60,	98.28,	95.18,	98.01,	98.02,	-1,	-1,	-1
92.78,	93.92,	92.69,	93.57,	1870000.00,	22.95,	-77.05,	-0.03056361,	26216250.00,	94.68,	96.51,	95.37,	97.74,	94.95,	97.26,	98.44,	1,	-1,	1
93.78,	95.65,	93.68,	95.36,	3021250.00,	38.93,	-61.07,	-0.01446879,	29237500.00,	94.45,	96.01,	94.68,	96.95,	93.49,	96.58,	98.54,	1,	1,	1
95.70,	98.33,	95.60,	96.41,	3762500.00,	48.30,	-51.70,	0.02313488,	33000000.00,	94.38,	95.72,	93.88,	96.30,	91.02,	95.96,	98.18,	1,	1,	1
96.80,	97.20,	95.34,	96.22,	2480000.00,	46.61,	-53.39,	0.04235727,	30520000.00,	94.77,	95.46,	94.06,	95.69,	90.84,	95.41,	97.64,	-1,	1,	-1
96.40,	97.20,	95.67,	96.55,	1911250.00,	52.36,	-47.64,	0.03184781,	32431250.00,	95.62,	95.33,	95.17,	95.23,	90.90,	95.33,	97.27,	1,	-1,	1
97.20,	98.00,	96.80,	97.17,	3298750.00,	62.01,	-37.99,	0.01898070,	35730000.00,	96.34,	95.51,	96.09,	95.25,	92.14,	95.15,	96.77,	1,	1,	-1
96.40,	101.08,	96.40,	100.77,	8382500.00,	96.71,	-3.29,	0.04522352,	44112500.00,	97.42,	95.93,	96.78,	95.15,	94.12,	94.98,	96.42,	1,	-1,	1
100.40,	101.90,	99.30,	101.45,	5166250.00,	95.61,	-4.39,	0.05435460,	49278750.00,	98.43,	96.40,	97.45,	95.08,	92.33,	95.30,	96.13,	1,	1,	1
102.00,	102.28,	100.82,	101.90,	3067500.00,	96.42,	-3.58,	0.05541170,	52346250.00,	99.57,	97.17,	98.57,	95.62,	89.02,	96.26,	95.96,	1,	1,	-1
101.60,	102.38,	100.40,	101.81,	3473750.00,	94.68,	-5.32,	0.04775136,	48872500.00,	100.62,	98.12,	99.93,	96.67,	85.20,	97.27,	96.15,	-1,	-1,	1
101.60,	103.96,	101.26,	103.22,	5831250.00,	93.98,	-6.02,	0.02431279,	54703750.00,	101.83,	99.09,	101.48,	97.67,	76.22,	98.12,	96.30,	1,	0,	1
103.00,	104.44,	102.61,	103.67,	3641250.00,	93.97,	-6.03,	0.02188270,	58345000.00,	102.41,	99.92,	102.03,	98.50,	61.50,	98.87,	96.41,	1,	1,	1
103.98,	106.66,	102.80,	106.12,	6172500.00,	96.40,	-3.60,	0.04141315,	64517500.00,	103.34,	100.89,	102.66,	99.32,	48.67,	99.86,	96.97,	1,	1,	1
106.50,	109.74,	106.12,	109.03,	5302500.00,	96.07,	-3.93,	0.07091641,	69820000.00,	104.77,	102.17,	103.61,	100.40,	35.74,	101.13,	98.01,	1,	1,	1
108.40,	114.19,	106.45,	113.22,	10641250.00,	95.49,	-4.51,	0.09688045,	80461250.00,	107.05,	103.84,	105.36,	101.72,	24.76,	102.72,	99.18,	1,	1,	1
