0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
date,day,o_tday,h_tday,l_tday,c_tday,v_tday,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,yhc,ylc,yoc_past,RSI,MACD,MACDsig,MACDhist,WILLR,slowk,slowd,fastk,fastd,CCI,ROC,OBV,AD,MOM,SMA,WMA,EMA,TSF,BBANDSu,BBANDSm,BBANDSl,TEMA,ADX,MFI,ATR,DS5,DS10,DW5,DW10,OCRSI,yoc_abs,yoc2,yoc1,ycc1_abs,ycc1_qnt,ycc1_sgn,ycc2_abs,ycc2_qnt,ycc2_sgn,ycc3_abs,ycc3_qnt,ycc3_sgn,ycc4_abs,ycc4_qnt,ycc4_sgn,ycc5_abs,ycc5_qnt,ycc5_sgn,ycc6_abs,ycc6_qnt,ycc6_sgn,ycc7_abs,ycc7_qnt,ycc7_sgn,ycc8_abs,ycc8_qnt,ycc8_sgn,ycc9_abs,ycc9_qnt,ycc9_sgn,ycc10_abs,ycc10_qnt,ycc10_sgn
06-12-2005,Tuesday,96.48,97.45,95.45,96.35,6823663.0,,,,,,,,,,,0.011416709911780058,-0.009340944473274432,,,,,,,,,,,,,6823663.0,-682366.3000000581,,,,,,,,,,,,,,,,,,-0.0013474295190714102,-1.0,-1.0,0.023663725998962132,2.0,1.0,0.019408406850025997,1.0,1.0,0.03653347171769601,2.0,1.0,0.05988583290088231,2.0,1.0,0.061235080435910805,2.0,1.0,0.07867151011935665,2.0,1.0,0.06133886870783613,2.0,1.0,0.10690192008303075,2.0,1.0,0.10368448365334727,2.0,1.0,0.08510638297872344,2.0,1.0
07-12-2005,Wednesday,96.36,98.91,95.27,98.63,11556143.0,0.023663725998962132,,,,,,,,,,0.0028388928317956115,-0.03406671398154719,0.00010378827192532555,,,,,,,,,,,,18379806.0,9095908.546153782,,,,,,,,,,,,,,,,,,0.023557492735574885,2.0,1.0,-0.004156950217986379,-1.0,-1.0,0.01257223968366632,1.0,1.0,0.035384771367738106,2.0,1.0,0.03670282875392887,2.0,1.0,0.05373618574470254,2.0,1.0,0.03680421778363591,2.0,1.0,0.08131400182500265,2.0,1.0,0.07817094190408606,2.0,1.0,0.060022305586535554,2.0,1.0,0.0601236946162426,2.0,1.0
08-12-2005,Thursday,98.91,99.36,97.11,98.22,5751586.0,-0.004156950217986379,0.019408406850025997,,,,,,,,,0.011606597434331099,-0.011301160659743428,0.0028388928317956115,,,,,,,,,,,,12628220.0,9019220.732820446,,,,,,,,,,,,,,,,,,-0.006976038823172558,-1.0,-1.0,0.016799022602321377,2.0,1.0,0.0397067806963959,2.0,1.0,0.041030340052942385,2.0,1.0,0.05813479942985143,2.0,1.0,0.04113215231113833,2.0,1.0,0.08582773365913263,2.0,1.0,0.08267155365506011,2.0,1.0,0.06444715943799632,2.0,1.0,0.06454897169619225,2.0,1.0,0.06169822846670742,2.0,1.0
09-12-2005,Friday,98.13,100.16,97.66,99.87,5942937.0,0.016799022602321377,0.01257223968366632,0.03653347171769601,,,,,,,,0.0029037749073795136,-0.02212876739761698,-0.0009163103237630158,,,,,,,,,,,,18571157.0,13583396.348820483,,,,,,,,,,,,,,,,,,0.017731580556404863,2.0,1.0,0.022529288074496844,2.0,1.0,0.023830980274356615,2.0,1.0,0.04065284870331433,2.0,1.0,0.023931110443576653,1.0,1.0,0.06788825473115051,2.0,1.0,0.06478421948533092,2.0,1.0,0.04686091919495336,2.0,1.0,0.0469610493641734,2.0,1.0,0.04415740462601378,1.0,1.0,0.05787523780915191,2.0,1.0
12-12-2005,Monday,100.16,102.91,100.16,102.12,8327126.0,0.022529288074496844,0.0397067806963959,0.035384771367738106,0.05988583290088231,,,,,,,0.007735996866431571,-0.019193106149627964,0.0029037749073795136,,,,,,,,,,,,26898283.0,17126209.95609326,,99.038,99.89,,,,,,,,,,1.03111936832327,,1.022324557012714,,,0.019568690095846726,2.0,1.0,0.0012730121425773154,1.0,1.0,0.017724245985115572,1.0,1.0,0.0013709361535448547,1.0,1.0,0.044359576968272627,2.0,1.0,0.04132393262828044,2.0,1.0,0.02379553466509981,1.0,1.0,0.023893458676067347,1.0,1.0,0.02115158636897764,1.0,1.0,0.034567175871523706,1.0,1.0,-0.003721112416764685,-1.0,-1.0
13-12-2005,Tuesday,102.18,103.6,101.49,102.25,5947128.0,0.0012730121425773154,0.023830980274356615,0.041030340052942385,0.03670282875392887,0.061235080435910805,,,,,,0.013202933985330017,-0.007432762836185869,0.0005875440658049576,,,,,,,,,,,,32845411.0,15463268.951353952,5.900000000000006,100.218,100.96066666666665,,,,,,,,,,1.0202757987587059,,1.0127706499560887,,,0.000685065570561687,1.0,1.0,0.016430317848410824,2.0,1.0,9.779951100249501e-05,1.0,1.0,0.04303178484107585,2.0,1.0,0.040000000000000036,2.0,1.0,0.02249388753056232,1.0,1.0,0.022591687041564813,1.0,1.0,0.019853300733496344,1.0,1.0,0.03325183374083135,1.0,1.0,-0.004987775061124744,-1.0,-1.0,0.028166259168704112,1.0,1.0
14-12-2005,Wednesday,102.18,104.48,102.18,103.93,6701964.0,0.016430317848410824,0.017724245985115572,0.04065284870331433,0.05813479942985143,0.05373618574470254,0.07867151011935665,,,,,0.00529202347734049,-0.016838256518810737,-0.0006845965770170482,,,,,,,,,,,,39547375.0,18959945.820919182,5.300000000000011,101.278,102.198,,,,,,,,,,1.0261853512115169,,1.016947494080119,,,0.01712663926404384,2.0,1.0,-0.016068507649379404,-2.0,-1.0,0.02617146156066582,2.0,1.0,0.023188684691619325,1.0,1.0,0.0059655537380928535,1.0,1.0,0.006061772346771821,1.0,1.0,0.003367651303762093,1.0,1.0,0.01654960069277397,1.0,1.0,-0.021071875300683267,-1.0,-1.0,0.01154623304147011,1.0,1.0,0.008467237563744784,1.0,1.0
15-12-2005,Thursday,104.15,104.45,101.65,102.26,5384505.0,-0.016068507649379404,9.779951100249501e-05,0.0013709361535448547,0.023931110443576653,0.04113215231113833,0.03680421778363591,0.06133886870783613,,,,0.021415998435360822,-0.005965186778799134,0.002116809390936196,,,,,,,,,,,,34162870.0,15921546.570919182,4.040000000000006,102.08600000000001,102.52533333333332,,,,,,,,,,1.0017044452716337,,0.9974120217442195,,,-0.018146903504560736,-2.0,-1.0,0.04292978681791512,2.0,1.0,0.03989829845491882,2.0,1.0,0.02239389790729505,1.0,1.0,0.02249168785448853,1.0,1.0,0.01975356933307252,1.0,1.0,0.033150792098572274,1.0,1.0,-0.005085077254058382,-1.0,-1.0,0.028065714844513888,1.0,1.0,0.024936436534324244,1.0,1.0,0.020340309016233113,1.0,1.0
16-12-2005,Friday,102.69,108.0,101.36,106.65,14435905.0,0.04292978681791512,0.02617146156066582,0.04303178484107585,0.044359576968272627,0.06788825473115051,0.08582773365913263,0.08131400182500265,0.10690192008303075,,,0.012658227848101212,-0.049601500234411684,0.0042049677293173535,,,,,,83.61518154722425,80.92220200988004,,,,,48598775.0,24487429.959473424,6.780000000000001,103.44200000000001,104.04666666666665,,,,,,,,,,1.0310125480945844,,1.0250208239892358,,,0.038562664329535576,2.0,1.0,-0.0029067041725269784,-1.0,-1.0,-0.019690576652602047,-2.0,-1.0,-0.019596812001875324,-1.0,-1.0,-0.022222222222222265,-1.0,-1.0,-0.009376465072667603,-1.0,-1.0,-0.04603844350679804,-2.0,-1.0,-0.014252226910454854,-1.0,-1.0,-0.017252695733708422,-1.0,-1.0,-0.021659634317862185,-1.0,-1.0,-0.00262541022034694,-1.0,-1.0
