'c','gamma','dist_plus_actual','dist_minus_act','pred_plus_train','pred_minus_train','pred_plus_test','pred_minus_test','pred_tain_accuracy_tot','pred_train_acc_plus','pred_train_acc_minus','pre_test_acc_tot','pred_test_acc_plus','pred_test_acc_minus','ret_pt_tot_train','ret_pt_tot_plus','ret_pt_train_minus','ret_pt_cor_train','ret_pt_inc_train','rt_pt_tot_test','rt_pt_plus_test','rt_pt_minus_test','rt_pt_cor_test','ret_pt_inc_test'
500,40642.3140664757,52.9166666667,47.0833333333,52.6473526474,47.3526473526,100,0,100,100,100,54.2713567839,54.2713567839,nan,1.2873231559,1.3298522611,1.2400386866,1.2873231559,0,0.1146241015,0.1146241015,0,0.9526414443,-0.869135388
500,23907.2435685151,52.9166666667,47.0833333333,52.6473526474,47.3526473526,100,0,100,100,100,54.2713567839,54.2713567839,nan,1.2873231559,1.3298522611,1.2400386866,1.2873231559,0,0.1146241015,0.1146241015,0,0.9526414443,-0.869135388
500,14063.0844520677,52.9166666667,47.0833333333,52.6473526474,47.3526473526,100,0,100,100,100,54.2713567839,54.2713567839,nan,1.2873231559,1.3298522611,1.2400386866,1.2873231559,0,0.1146241015,0.1146241015,0,0.9526414443,-0.869135388
500,8272.4026188634,52.9166666667,47.0833333333,52.6473526474,47.3526473526,100,0,100,100,100,54.2713567839,54.2713567839,nan,1.2873231559,1.3298522611,1.2400386866,1.2873231559,0,0.1146241015,0.1146241015,0,0.9526414443,-0.869135388
500,4866.1191875667,52.9166666667,47.0833333333,52.6473526474,47.3526473526,100,0,100,100,100,54.2713567839,54.2713567839,nan,1.2873231559,1.3298522611,1.2400386866,1.2873231559,0,0.1146241015,0.1146241015,0,0.9526414443,-0.869135388
500,2862.4230515098,52.9166666667,47.0833333333,52.6473526474,47.3526473526,100,0,100,100,100,54.2713567839,54.2713567839,nan,1.2873231559,1.3298522611,1.2400386866,1.2873231559,0,0.1146241015,0.1146241015,0,0.9526414443,-0.869135388
500,1683.778265594,52.9166666667,47.0833333333,52.6473526474,47.3526473526,100,0,100,100,100,54.2713567839,54.2713567839,nan,1.2873231559,1.3298522611,1.2400386866,1.2873231559,0,0.1146241015,0.1146241015,0,0.9526414443,-0.869135388
500,990.4578032906,52.9166666667,47.0833333333,52.6473526474,47.3526473526,100,0,100,100,100,54.2713567839,54.2713567839,nan,1.2873231559,1.3298522611,1.2400386866,1.2873231559,0,0.1146241015,0.1146241015,0,0.9526414443,-0.869135388
500,582.6222372298,52.9166666667,47.0833333333,52.6473526474,47.3526473526,100,0,100,100,100,54.2713567839,54.2713567839,nan,1.2873231559,1.3298522611,1.2400386866,1.2873231559,0,0.1146241015,0.1146241015,0,0.9526414443,-0.869135388
500,342.7189630763,52.9166666667,47.0833333333,52.6473526474,47.3526473526,100,0,100,100,100,54.2713567839,54.2713567839,nan,1.2873231559,1.3298522611,1.2400386866,1.2873231559,0,0.1146241015,0.1146241015,0,0.9526414443,-0.869135388
500,201.5993900449,52.9166666667,47.0833333333,52.6473526474,47.3526473526,100,0,100,100,100,54.2713567839,54.2713567839,nan,1.2873231559,1.3298522611,1.2400386866,1.2873231559,0,0.1146241015,0.1146241015,0,0.9526414443,-0.869135388
500,118.587876497,52.9166666667,47.0833333333,52.6473526474,47.3526473526,100,0,100,100,100,54.2713567839,54.2713567839,nan,1.2873231559,1.3298522611,1.2400386866,1.2873231559,0,0.1146241015,0.1146241015,0,0.9526414443,-0.869135388
500,69.75757441,52.9166666667,47.0833333333,52.6473526474,47.3526473526,100,0,100,100,100,54.2713567839,54.2713567839,nan,1.2873231559,1.3298522611,1.2400386866,1.2873231559,0,0.1146241015,0.1146241015,0,0.9526414443,-0.869135388
500,41.0338673,52.9166666667,47.0833333333,52.6473526474,47.3526473526,97.9899497487,2.0100502513,100,100,100,55.2763819095,54.8717948718,75,1.2873231559,1.3298522611,1.2400386866,1.2873231559,0,0.1301687888,0.1248943318,0.3886171845,0.9494522248,-0.8711776328
500,24.137569,52.9166666667,47.0833333333,52.6473526474,47.3526473526,80.9045226131,19.0954773869,100,100,100,53.2663316583,54.6583850932,47.3684210526,1.2873231559,1.3298522611,1.2400386866,1.2873231559,0,0.0745693047,0.1167860532,-0.10540736,0.9328282671,-0.8932546316
500,14.19857,52.9166666667,47.0833333333,52.6473526474,47.3526473526,64.824120603,35.175879397,100,100,100,50.2512562814,53.488372093,44.2857142857,1.2873231559,1.3298522611,1.2400386866,1.2873231559,0,-0.0045168913,0.0853544265,-0.1678042151,0.9097117671,-0.9187455497
500,8.3521,52.9166666667,47.0833333333,52.6473526474,47.3526473526,67.3366834171,32.6633165829,100,100,100,51.7587939698,54.4776119403,46.1538461538,1.2873231559,1.3298522611,1.2400386866,1.2873231559,0,0.0080765816,0.0915676739,-0.1614356362,0.8954419806,-0.9341773988
500,4.913,52.9166666667,47.0833333333,52.6473526474,47.3526473526,68.8442211055,31.1557788945,100,100,100,50.2512562814,53.2846715328,43.5483870968,1.2873231559,1.3298522611,1.2400386866,1.2873231559,0,-0.0175745984,0.0708390534,-0.2098392061,0.89665406,-0.9318032568
500,2.89,52.9166666667,47.0833333333,52.5474525475,47.4525474525,77.3869346734,22.6130653266,99.9000999001,100,99.7894736842,54.7738693467,55.8441558442,51.1111111111,1.2872995149,1.3323580024,1.2374031686,1.2885986467,-0.0118323277,0.1290924779,0.158257519,0.0314529921,0.9571753544,-0.8627870116
500,1.7,52.9166666667,47.0833333333,52.5474525475,47.4525474525,80.4020100503,19.5979899497,99.1008991009,99.2395437262,98.9473684211,54.7738693467,55.625,51.2820512821,1.2778353217,1.3233526247,1.2274308977,1.2942155424,-0.5276290006,0.0689844166,0.1147553238,-0.1140992121,0.9020303441,-0.9288398261
500,1,52.9166666667,47.0833333333,52.5474525475,47.4525474525,87.9396984925,12.0603015075,94.7052947053,95.0570342205,94.3157894737,54.2713567839,54.8571428571,50,1.1916195123,1.2413164791,1.1365866607,1.3087666724,-0.9037674265,0.0634544436,0.1011809915,-0.2132069079,0.9052621315,-0.9247545813
500,0.5882352941,52.9166666667,47.0833333333,54.8451548452,45.1548451548,86.432160804,13.567839196,87.012987013,86.1566484517,88.0530973451,53.7688442211,54.6511627907,48.1481481481,1.0341641987,1.045767001,1.0200714145,1.3339890023,-0.9746619851,0.0883963105,0.1173528393,-0.0971399666,0.9370326812,-0.887991772
500,0.3460207612,52.9166666667,47.0833333333,56.9430569431,43.0569430569,85.4271356784,14.5728643216,77.3226773227,76.3157894737,78.6542923434,53.7688442211,54.7058823529,48.275862069,0.8119116608,0.8120854181,0.8116818658,1.3574509377,-1.0482090453,0.0512501247,0.0970024714,-0.2185309545,0.9023166197,-0.9279339073
500,0.2035416243,52.9166666667,47.0833333333,57.8421578422,42.1578421578,78.8944723618,21.1055276382,70.6293706294,70.1208981002,71.327014218,53.2663316583,54.7770700637,47.619047619,0.6256891536,0.6384876053,0.6081291927,1.3542611894,-1.1263531229,0.0349632077,0.0946755122,-0.1896687946,0.8954640247,-0.9353887773
500,0.1197303672,52.9166666667,47.0833333333,59.8401598402,40.1598401598,68.8442211055,31.1557788945,68.031968032,67.2787979967,69.1542288557,52.2613065327,54.7445255474,46.7741935484,0.5904908811,0.5877589116,0.5945616515,1.3800968069,-1.0898892298,-0.0191072971,0.0692150756,-0.2156958042,0.8606936166,-0.9722249537
500,0.0704296278,52.9166666667,47.0833333333,59.2407592408,40.7592407592,57.2864321608,42.7135678392,64.4355644356,64.4182124789,64.4607843137,46.7336683417,50.8771929825,41.1764705882,0.4975606466,0.5152715105,0.4718191215,1.3850144855,-1.1103262243,0.0536178223,0.146297325,-0.0717720932,1.0406951405,-0.8043091927
